,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARGENTINA,ARG,0.29,0.21,7.00,59.62,50.24,66.99,0.17,0.22,7.00,53.37,44.02,64.59,0.31,0.20,8.00,57.21,50.24,66.51,0.16,0.17,10.00,52.88,45.45,60.29,0.33,0.17,10.00,57.69,48.80,66.03,0.34,0.17,11.00,59.13,51.20,67.94,0.24,0.17,12.00,57.69,48.80,64.11,0.36,0.13,14.00,58.17,52.63,65.07,0.41,0.13,14.00,58.17,55.02,66.99,0.31,0.13,15.00,57.69,50.72,62.68,0.24,0.11,17.00,55.92,50.94,59.43,0.33,0.11,17.00,57.35,54.25,63.68,0.31,0.11,18.00,56.81,54.67,63.55,0.25,0.11,18,57,53,62
ARMENIA,ARM,-0.73,0.30,3.00,25.96,13.88,43.06,-0.38,0.26,4.00,37.02,25.36,51.67,-0.41,0.21,5.00,36.06,26.79,49.76,-0.49,0.18,6.00,35.58,24.88,43.06,-0.50,0.17,7.00,33.65,26.32,40.19,-0.57,0.18,8.00,31.25,22.97,41.15,-0.60,0.18,9.00,29.81,22.97,38.76,-0.74,0.14,12.00,26.44,21.53,32.06,-0.76,0.14,12.00,27.40,20.10,31.58,-0.86,0.14,12.00,23.56,17.22,28.71,-0.88,0.14,12.00,24.17,15.09,30.19,-0.85,0.14,12.00,25.59,16.98,30.19,-0.68,0.14,12.00,28.64,24.30,32.71,-0.57,0.13,13,30,26,37
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.70,0.39,1.00,71.15,51.20,90.43,1.12,0.42,1.00,85.58,62.20,100.00,1.04,0.51,1.00,81.25,55.02,100.00,1.01,0.53,1.00,79.81,53.59,100.00,1.00,0.53,1.00,80.29,53.59,100.00,1.23,0.26,2.00,91.00,70.28,100.00,1.26,0.24,2.00,91.47,73.11,100.00,1.25,0.23,2.00,91.08,74.30,98.60,1.25,0.21,2,91,75,96
AUSTRALIA,AUS,1.46,0.22,6.00,92.31,83.73,100.00,1.44,0.23,6.00,93.27,79.90,100.00,1.51,0.22,7.00,95.67,85.65,100.00,1.42,0.20,8.00,95.19,83.25,100.00,1.43,0.19,8.00,94.71,86.60,100.00,1.52,0.19,8.00,94.71,89.00,100.00,1.52,0.19,8.00,95.19,88.52,100.00,1.42,0.17,9.00,95.19,86.12,100.00,1.40,0.17,9.00,94.23,85.65,100.00,1.40,0.17,9.00,94.71,86.12,100.00,1.40,0.15,10.00,94.31,87.26,100.00,1.44,0.15,10.00,94.79,88.21,100.00,1.47,0.14,11.00,95.77,89.72,100.00,1.50,0.14,11,96,91,100
AUSTRIA,AUT,1.49,0.22,6.00,93.75,84.69,100.00,1.38,0.23,6.00,92.31,77.51,100.00,1.34,0.22,7.00,90.38,77.51,99.52,1.30,0.20,8.00,90.87,75.12,100.00,1.29,0.19,8.00,90.87,76.56,100.00,1.46,0.19,8.00,92.31,85.17,99.04,1.35,0.19,8.00,90.38,81.34,98.56,1.41,0.17,9.00,94.23,86.12,100.00,1.40,0.17,9.00,95.19,86.60,100.00,1.40,0.17,9.00,94.23,86.12,100.00,1.42,0.15,10.00,94.79,87.26,100.00,1.47,0.15,10.00,95.26,89.62,100.00,1.43,0.14,11.00,94.84,89.25,99.53,1.46,0.14,11,95,90,99
AZERBAIJAN,AZE,-1.12,0.26,4.00,14.42,6.70,26.79,-1.00,0.23,5.00,18.75,9.57,31.10,-0.85,0.20,6.00,22.60,13.88,32.06,-0.95,0.16,8.00,20.67,14.83,28.23,-1.06,0.16,8.00,20.67,10.53,25.84,-1.04,0.16,9.00,18.75,10.05,25.36,-1.08,0.16,11.00,15.38,10.05,24.88,-1.22,0.13,13.00,13.46,8.61,20.57,-1.18,0.13,13.00,13.94,9.09,20.57,-1.28,0.13,13.00,12.02,8.13,18.18,-1.21,0.13,14.00,12.80,9.43,20.75,-1.26,0.13,14.00,12.32,8.96,17.92,-1.27,0.13,14.00,12.21,7.94,17.29,-1.26,0.13,14,13,7,17
"BAHAMAS, THE",BHS,1.06,0.24,4.00,81.73,68.42,91.87,1.11,0.26,4.00,85.10,67.46,98.09,1.16,0.25,4.00,86.54,71.77,96.65,1.16,0.24,4.00,87.50,70.33,99.04,1.05,0.24,4.00,82.21,66.99,94.74,1.02,0.25,4.00,82.21,67.94,90.91,0.98,0.25,4.00,77.88,65.07,90.91,1.04,0.22,4.00,79.81,69.86,93.78,1.13,0.21,4.00,86.06,70.33,96.17,1.15,0.21,4.00,86.54,71.29,96.17,1.01,0.17,5.00,78.20,68.87,91.51,0.98,0.17,5.00,76.30,68.87,91.04,0.97,0.17,5.00,75.59,68.69,90.65,0.94,0.16,5,75,68,89
BAHRAIN,BHR,-0.74,0.22,5.00,25.00,15.31,37.32,-1.11,0.23,5.00,15.38,8.13,28.71,-1.10,0.23,5.00,18.27,9.09,26.79,-0.62,0.17,8.00,29.81,22.97,40.67,-0.69,0.16,8.00,26.44,22.01,35.41,-0.62,0.15,10.00,28.37,22.97,36.36,-0.81,0.15,10.00,25.48,17.70,30.14,-0.91,0.13,10.00,23.08,17.70,28.71,-0.86,0.13,10.00,24.52,18.18,29.19,-0.87,0.12,10.00,22.60,17.70,28.71,-0.80,0.12,11.00,26.54,20.75,30.19,-0.97,0.12,11.00,19.91,13.68,27.83,-1.22,0.12,10.00,13.15,9.35,17.76,-1.32,0.12,10,11,7,17
BANGLADESH,BGD,-0.12,0.22,5.00,47.60,34.93,57.89,-0.17,0.23,5.00,45.19,33.97,55.02,-0.31,0.22,6.00,40.87,27.75,50.24,-0.52,0.17,8.00,33.65,23.92,41.63,-0.63,0.17,8.00,28.85,24.40,39.23,-0.68,0.16,10.00,26.92,21.53,35.89,-0.60,0.16,11.00,29.33,23.92,36.36,-0.48,0.12,13.00,32.69,29.19,38.28,-0.54,0.12,14.00,31.25,27.75,35.89,-0.47,0.12,14.00,33.17,28.71,40.67,-0.30,0.12,14.00,38.86,31.60,44.81,-0.28,0.12,14.00,37.44,33.96,47.17,-0.32,0.11,15.00,37.56,31.31,44.39,-0.42,0.11,15,34,30,42
BARBADOS,BRB,1.47,0.30,3.00,93.27,76.08,100.00,1.41,0.30,3.00,92.79,75.60,100.00,1.41,0.30,3.00,92.79,75.60,100.00,1.35,0.27,3.00,92.31,73.21,100.00,1.22,0.27,3.00,89.42,70.81,100.00,1.16,0.27,4.00,87.50,71.77,94.74,1.06,0.27,4.00,83.17,66.99,94.74,1.14,0.23,4.00,86.54,71.77,96.65,1.13,0.23,4.00,86.54,69.86,96.65,1.06,0.23,4.00,82.21,68.90,94.74,1.20,0.18,5.00,88.63,74.53,96.70,1.21,0.18,5.00,89.57,75.47,96.23,1.19,0.17,5.00,87.79,74.77,95.33,1.18,0.17,5,87,74,95
