,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BRUNEI DARUSSALAM,BRN,-0.70,0.24,4.00,26.92,15.31,41.63,-0.79,0.26,4.00,25.48,12.44,38.76,-0.77,0.25,4.00,25.96,13.40,39.23,-0.92,0.23,5.00,22.12,12.44,32.54,-0.92,0.24,4.00,23.08,10.53,32.54,-0.86,0.25,4.00,23.08,13.88,34.93,-0.87,0.25,4.00,23.56,11.00,33.97,-1.08,0.22,4.00,18.27,8.61,28.23,-1.04,0.21,4.00,18.75,9.57,29.19,-0.98,0.21,5.00,20.67,10.53,28.71,-0.75,0.17,7.00,28.91,18.87,33.02,-0.65,0.16,7.00,29.86,22.64,34.91,-0.60,0.16,7.00,29.11,24.77,36.92,-0.49,0.16,7,33,26,41
BULGARIA,BGR,0.37,0.22,5.00,61.54,51.67,71.29,0.37,0.23,5.00,59.62,50.24,70.33,0.41,0.19,7.00,60.10,51.67,70.81,0.49,0.16,9.00,62.02,54.07,70.33,0.51,0.15,9.00,62.98,54.07,70.81,0.54,0.16,9.00,64.90,56.94,74.64,0.57,0.16,10.00,65.38,59.33,72.73,0.55,0.13,14.00,63.94,56.94,71.77,0.68,0.13,14.00,68.27,60.29,74.16,0.56,0.13,14.00,64.90,57.89,69.86,0.56,0.13,14.00,64.93,57.55,69.34,0.52,0.13,14.00,64.45,57.08,69.34,0.44,0.13,15.00,61.03,56.07,67.76,0.38,0.12,15,59,56,66
BURKINA FASO,BFA,-0.73,0.24,4.00,26.44,14.35,40.19,-0.57,0.26,4.00,32.69,18.66,45.93,-0.36,0.23,5.00,38.94,26.79,50.24,-0.48,0.18,7.00,36.06,24.88,44.02,-0.33,0.17,7.00,39.42,29.67,44.98,-0.45,0.17,9.00,34.62,26.79,43.06,-0.46,0.16,11.00,33.65,27.27,41.63,-0.37,0.12,15.00,35.10,31.10,41.63,-0.34,0.12,15.00,36.06,31.58,44.50,-0.32,0.11,16.00,36.54,32.06,44.98,-0.32,0.11,16.00,38.39,31.13,43.87,-0.28,0.11,16.00,37.91,34.43,47.17,-0.32,0.11,17.00,38.03,31.78,44.39,-0.35,0.11,18,37,32,43
BURUNDI,BDI,-1.75,0.30,3.00,3.85,0.00,13.40,-1.61,0.30,3.00,3.85,0.48,15.31,-1.63,0.27,4.00,4.33,0.48,13.40,-1.22,0.19,6.00,13.94,7.66,22.49,-1.24,0.18,6.00,14.42,7.18,22.01,-1.31,0.20,7.00,9.62,5.74,19.62,-0.64,0.19,8.00,28.37,22.97,36.84,-0.75,0.14,11.00,25.96,21.53,32.06,-0.74,0.14,12.00,27.88,20.57,32.06,-0.71,0.14,12.00,28.37,21.53,33.01,-0.71,0.14,12.00,29.38,21.23,32.55,-0.94,0.14,11.00,21.80,13.68,29.25,-0.98,0.14,12.00,19.25,13.55,27.10,-0.93,0.13,13,22,16,28
CAMBODIA,KHM,-0.86,0.26,4.00,21.15,12.44,35.89,-0.92,0.26,4.00,21.63,11.00,34.93,-0.83,0.26,4.00,23.56,11.96,36.36,-0.78,0.19,6.00,24.52,18.66,37.32,-0.96,0.16,7.00,21.63,14.83,26.32,-0.89,0.17,8.00,22.60,16.27,28.71,-1.01,0.17,9.00,18.75,10.53,26.79,-0.93,0.13,11.00,21.63,17.22,28.23,-0.93,0.13,12.00,21.15,15.79,29.19,-0.97,0.12,13.00,21.15,16.27,27.27,-0.91,0.12,13.00,21.80,15.57,29.25,-0.93,0.12,13.00,22.27,14.62,28.77,-0.93,0.12,13.00,23.00,14.95,27.10,-0.98,0.12,13,19,15,26
CAMEROON,CMR,-0.97,0.22,5.00,19.23,10.53,31.10,-1.14,0.23,5.00,13.94,7.66,27.27,-1.14,0.21,6.00,15.38,8.13,24.40,-1.17,0.17,8.00,15.87,10.05,22.97,-1.12,0.16,9.00,18.27,10.05,24.88,-0.99,0.17,9.00,19.71,13.88,26.79,-1.02,0.15,12.00,18.27,11.00,26.32,-1.03,0.13,14.00,18.75,11.48,25.36,-1.06,0.12,15.00,18.27,11.00,24.88,-1.08,0.13,15.00,16.83,11.00,22.49,-1.06,0.13,15.00,16.59,12.74,25.47,-1.08,0.13,15.00,16.59,12.26,25.47,-1.05,0.12,16.00,17.37,12.62,25.70,-1.03,0.12,16,18,15,25
CANADA,CAN,1.62,0.22,6.00,99.52,87.08,100.00,1.62,0.23,6.00,99.04,88.52,100.00,1.59,0.22,7.00,98.08,87.56,100.00,1.53,0.20,8.00,98.56,88.04,100.00,1.53,0.19,8.00,97.60,88.04,100.00,1.68,0.19,8.00,96.63,90.43,100.00,1.50,0.19,8.00,94.71,88.04,100.00,1.44,0.16,11.00,95.67,88.04,100.00,1.40,0.15,12.00,94.71,87.08,100.00,1.43,0.15,12.00,95.19,87.56,100.00,1.43,0.15,12.00,95.26,87.74,100.00,1.38,0.15,12.00,93.84,85.85,99.06,1.41,0.14,13.00,94.37,86.92,99.07,1.45,0.13,13,94,90,98
CAPE VERDE,CPV,0.91,0.40,2.00,75.00,58.37,97.61,0.91,0.36,2.00,75.48,58.37,96.65,0.73,0.31,3.00,71.63,55.50,88.04,0.65,0.23,6.00,68.27,55.02,79.43,0.67,0.22,6.00,67.79,56.46,80.38,0.70,0.23,7.00,70.67,57.89,83.25,0.49,0.22,7.00,63.94,54.07,72.73,0.75,0.17,8.00,71.15,60.77,78.95,0.84,0.17,8.00,72.12,65.07,85.65,0.93,0.17,8.00,75.48,68.42,88.04,0.88,0.17,8.00,73.93,67.92,87.26,0.89,0.16,9.00,73.93,67.92,86.32,1.00,0.16,9.00,77.00,69.63,91.59,0.95,0.16,9,76,70,89
CAYMAN ISLANDS,CYM,1.57,0.41,1.00,97.60,74.64,100.00,1.54,0.47,1.00,98.08,70.81,100.00,1.53,0.47,1.00,96.15,71.77,100.00,1.49,0.51,1.00,96.15,67.46,100.00,0.87,0.48,1.00,73.08,48.80,100.00,0.84,0.39,1.00,75.48,55.98,93.78,0.88,0.42,1.00,74.52,56.46,96.17,0.81,0.51,1.00,73.56,45.93,100.00,0.78,0.53,1.00,71.15,45.93,100.00,0.79,0.53,1.00,71.15,45.45,100.00,0.53,0.26,2.00,62.56,53.30,75.00,0.54,0.24,2.00,65.40,55.19,75.47,0.54,0.23,2.00,64.79,55.14,74.77,0.54,0.21,2,65,56,74
CENTRAL AFRICAN REPUBLIC,CAF,-0.99,0.30,3.00,18.75,8.61,34.93,-0.75,0.30,3.00,26.92,11.96,43.06,-0.71,0.27,4.00,27.40,14.83,43.06,-1.08,0.19,6.00,19.23,10.53,24.88,-1.30,0.18,6.00,10.58,6.70,21.53,-1.30,0.20,7.00,11.54,5.74,20.10,-0.95,0.19,8.00,22.60,11.48,28.23,-1.01,0.15,8.00,19.23,11.48,25.36,-1.08,0.15,9.00,17.79,10.05,25.36,-1.01,0.14,9.00,19.23,12.44,27.27,-1.01,0.14,11.00,19.43,12.74,28.77,-1.12,0.14,11.00,14.22,10.85,23.58,-1.11,0.14,11.00,16.43,11.21,24.77,-1.26,0.13,11,13,7,17
CHAD,TCD,-1.08,0.30,3.00,16.35,6.22,31.58,-1.05,0.30,3.00,16.83,7.18,33.49,-1.03,0.27,4.00,19.23,9.09,30.14,-0.97,0.19,6.00,20.19,12.44,28.71,-1.10,0.18,7.00,18.75,10.05,25.84,-1.20,0.19,8.00,15.38,7.66,22.97,-1.26,0.17,10.00,11.06,6.70,20.10,-1.43,0.13,13.00,8.65,7.18,13.88,-1.46,0.13,13.00,8.65,5.26,12.44,-1.46,0.13,13.00,8.65,4.31,12.92,-1.42,0.14,13.00,9.48,5.66,13.68,-1.37,0.13,13.00,10.43,6.13,13.68,-1.35,0.13,13.00,10.33,6.07,14.95,-1.33,0.13,13,10,6,17
CHILE,CHL,0.65,0.21,7.00,68.27,59.81,77.03,0.49,0.22,7.00,63.94,52.63,72.73,0.84,0.20,8.00,74.52,63.16,87.56,1.06,0.17,10.00,80.29,70.81,91.87,0.98,0.17,10.00,79.33,69.38,90.43,1.17,0.17,11.00,87.98,77.99,90.91,1.24,0.17,11.00,89.42,77.51,95.22,1.06,0.14,13.00,83.65,74.64,91.39,1.08,0.14,13.00,83.65,73.21,91.39,1.00,0.13,14.00,77.40,69.86,89.00,1.01,0.13,15.00,78.67,70.28,90.09,1.09,0.13,15.00,82.94,73.11,91.98,1.05,0.13,15.00,81.22,73.36,91.59,1.04,0.12,15,80,73,91
CHINA,CHN,-1.29,0.22,6.00,12.02,5.26,20.57,-1.36,0.23,6.00,10.58,3.35,20.57,-1.29,0.22,7.00,11.54,3.83,21.05,-1.57,0.17,9.00,6.25,1.91,12.44,-1.54,0.17,9.00,7.21,2.87,12.92,-1.46,0.16,11.00,7.69,4.31,15.31,-1.50,0.16,11.00,7.69,4.31,12.44,-1.68,0.12,12.00,6.25,2.87,8.13,-1.66,0.12,14.00,5.29,3.83,8.61,-1.64,0.12,14.00,5.77,3.83,9.57,-1.66,0.12,14.00,5.21,3.30,8.02,-1.63,0.12,14.00,5.21,3.77,9.43,-1.58,0.11,15.00,5.63,4.21,10.28,-1.58,0.11,15,5,4,9
COLOMBIA,COL,-0.65,0.21,7.00,29.33,18.66,40.67,-0.47,0.22,7.00,35.10,23.92,46.89,-0.56,0.20,8.00,31.25,22.01,45.45,-0.50,0.17,10.00,35.10,24.40,42.58,-0.46,0.17,10.00,35.10,26.32,40.67,-0.31,0.15,13.00,38.94,31.58,46.89,-0.30,0.15,14.00,37.98,30.14,47.85,-0.18,0.12,16.00,41.83,34.93,46.89,-0.18,0.12,17.00,43.27,35.41,47.85,-0.18,0.11,17.00,42.79,34.93,48.33,-0.16,0.11,17.00,43.13,35.38,49.06,-0.15,0.11,17.00,42.65,35.38,49.53,-0.10,0.11,18.00,46.48,38.79,52.80,-0.11,0.11,18,45,40,54
COMOROS,COM,-0.58,0.30,3.00,31.25,16.27,48.80,-0.52,0.30,3.00,34.62,18.66,48.80,-1.16,0.27,4.00,14.42,5.26,27.27,-0.43,0.23,5.00,38.46,24.40,46.89,-0.57,0.22,5.00,31.25,22.49,40.67,-0.55,0.23,6.00,31.73,21.53,43.54,-0.63,0.23,6.00,28.85,19.14,39.71,-0.30,0.17,7.00,37.98,30.62,45.93,-0.48,0.17,7.00,33.65,26.79,43.06,-0.36,0.17,7.00,35.10,28.71,45.93,-0.38,0.17,8.00,34.60,30.19,45.28,-0.47,0.17,8.00,34.12,28.30,41.04,-0.44,0.16,8.00,33.33,28.50,42.99,-0.53,0.16,8,31,25,41
"CONGO, DEM. REP.",ZAR,-1.68,0.26,3.00,4.33,0.00,13.40,-1.88,0.28,3.00,2.40,0.00,9.09,-1.84,0.25,4.00,2.40,0.00,9.09,-1.69,0.18,6.00,3.85,1.44,10.53,-1.61,0.17,7.00,6.25,1.91,10.05,-1.73,0.17,9.00,3.85,0.96,8.13,-1.55,0.16,10.00,6.25,3.35,10.53,-1.28,0.13,11.00,10.58,8.13,18.66,-1.26,0.13,13.00,11.06,8.61,18.66,-1.45,0.13,13.00,9.62,4.78,13.88,-1.45,0.12,14.00,9.00,6.60,12.74,-1.44,0.11,14.00,9.00,5.66,12.26,-1.53,0.12,14.00,7.04,4.67,10.75,-1.52,0.12,14,7,4,11
"CONGO, REP.",COG,-1.02,0.24,4.00,17.79,8.61,30.62,-1.59,0.26,4.00,5.29,1.44,13.40,-1.51,0.23,5.00,7.69,1.91,16.75,-0.92,0.21,6.00,21.63,12.44,30.62,-0.78,0.20,6.00,25.96,18.18,35.41,-0.95,0.21,7.00,20.67,12.44,29.67,-1.08,0.16,10.00,15.87,10.05,24.88,-1.23,0.14,10.00,12.98,8.61,21.05,-1.25,0.14,10.00,12.02,8.61,19.14,-1.16,0.14,10.00,15.87,10.05,21.53,-1.10,0.13,12.00,16.11,9.91,24.53,-1.06,0.13,12.00,17.06,12.26,26.42,-1.11,0.13,12.00,15.96,11.21,24.77,-1.16,0.13,12,15,10,21
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.33,0.89,1.00,36.97,3.77,86.32,-0.30,0.87,1.00,36.97,3.77,85.85,-0.39,0.82,1.00,35.21,4.21,74.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,1.06,0.21,6.00,82.21,70.81,91.39,1.17,0.22,6.00,87.02,71.29,97.13,1.07,0.21,7.00,82.21,71.29,92.34,1.10,0.17,9.00,83.65,72.73,93.30,0.97,0.17,9.00,78.37,68.42,89.95,0.99,0.17,11.00,80.77,71.77,89.00,0.81,0.16,12.00,72.60,64.11,83.73,0.87,0.14,13.00,75.00,67.46,86.12,0.90,0.14,14.00,74.52,68.42,86.12,0.94,0.14,14.00,75.96,69.38,86.60,1.00,0.14,13.00,77.73,69.34,90.09,1.04,0.14,12.00,81.04,71.70,91.51,1.04,0.14,12.00,78.40,71.50,91.59,1.06,0.13,13,83,73,91
C?TE D'IVOIRE,CIV,-0.64,0.22,5.00,30.29,18.18,41.63,-0.73,0.23,5.00,28.37,15.31,38.76,-1.10,0.21,6.00,17.79,9.09,26.79,-1.20,0.17,8.00,15.38,9.57,21.53,-1.25,0.16,8.00,13.46,8.13,21.53,-1.30,0.17,9.00,12.02,6.22,19.14,-1.38,0.16,9.00,9.62,5.74,15.31,-1.37,0.13,10.00,9.62,7.18,16.75,-1.28,0.13,10.00,10.10,8.13,18.18,-1.24,0.13,12.00,12.50,8.61,18.66,-1.11,0.12,14.00,15.17,10.38,21.70,-1.10,0.11,14.00,15.64,12.26,23.11,-1.11,0.12,14.00,15.02,11.68,23.36,-0.79,0.11,15,26,19,29
CROATIA,HRV,-0.16,0.26,4.00,46.15,31.10,58.85,-0.34,0.23,5.00,39.42,29.19,51.67,0.47,0.20,6.00,62.02,52.63,72.25,0.51,0.16,9.00,62.98,54.55,70.33,0.58,0.15,9.00,65.38,57.89,71.29,0.64,0.16,10.00,68.75,60.29,77.99,0.43,0.16,11.00,62.02,55.50,70.81,0.44,0.14,12.00,59.62,55.02,69.38,0.48,0.14,12.00,61.54,55.50,69.38,0.43,0.14,12.00,59.13,55.02,68.42,0.44,0.14,12.00,59.72,55.66,67.92,0.43,0.14,12.00,60.19,55.19,67.92,0.46,0.13,13.00,61.50,56.07,68.22,0.48,0.12,14,64,58,68
CUBA,CUB,-1.39,0.22,5.00,9.62,3.83,17.70,-1.59,0.23,5.00,4.81,1.44,12.92,-1.63,0.23,5.00,3.85,0.96,11.96,-1.66,0.18,7.00,4.33,1.44,11.00,-1.87,0.17,7.00,1.92,0.48,6.70,-1.83,0.18,8.00,1.92,0.48,6.70,-1.86,0.18,8.00,2.88,0.96,6.22,-1.87,0.14,9.00,2.88,0.96,7.18,-1.84,0.14,9.00,3.85,2.39,7.18,-1.75,0.14,9.00,3.85,2.39,8.13,-1.66,0.14,9.00,4.74,2.83,9.43,-1.55,0.14,9.00,6.64,3.77,11.32,-1.52,0.14,9.00,7.51,4.21,12.15,-1.43,0.14,10,8,4,15
CYPRUS,CYP,1.03,0.22,5.00,79.33,68.42,90.91,0.97,0.23,5.00,76.44,66.03,90.43,1.07,0.23,5.00,82.69,69.86,93.30,1.14,0.21,5.00,85.58,71.29,96.17,0.97,0.20,6.00,77.40,66.99,90.91,0.95,0.19,7.00,79.33,68.42,89.00,0.99,0.19,7.00,78.85,69.86,89.95,1.05,0.17,8.00,81.73,72.25,91.87,1.07,0.17,8.00,82.21,71.29,93.30,1.09,0.17,8.00,83.65,71.77,93.78,1.08,0.16,9.00,82.94,71.23,92.45,1.02,0.15,9.00,77.73,70.28,91.51,1.05,0.15,9.00,80.28,71.50,92.06,1.00,0.15,9,79,71,91
CZECH REPUBLIC,CZE,1.00,0.22,6.00,76.92,66.51,90.43,0.91,0.23,6.00,74.52,64.59,88.52,0.68,0.22,7.00,68.75,58.85,80.38,0.98,0.17,9.00,75.48,69.38,89.00,0.97,0.17,9.00,76.92,67.94,89.95,0.95,0.17,9.00,79.81,68.90,89.00,0.88,0.17,10.00,73.56,66.99,85.65,0.93,0.14,12.00,76.44,69.86,86.60,0.96,0.14,12.00,76.92,69.86,88.52,1.00,0.14,12.00,77.88,69.86,89.47,1.02,0.14,12.00,80.09,70.28,91.51,1.00,0.13,13.00,76.78,70.75,89.62,0.99,0.13,14.00,76.53,70.56,89.25,0.93,0.12,14,75,70,86
DENMARK,DNK,1.58,0.22,6.00,98.08,86.60,100.00,1.50,0.23,6.00,96.63,85.17,100.00,1.58,0.22,7.00,97.60,87.56,100.00,1.55,0.20,8.00,99.52,88.52,100.00,1.60,0.19,8.00,99.52,90.43,100.00,1.83,0.19,8.00,100.00,94.26,100.00,1.77,0.19,8.00,100.00,92.82,100.00,1.64,0.17,9.00,100.00,92.34,100.00,1.52,0.17,9.00,97.60,90.91,100.00,1.60,0.17,9.00,100.00,91.39,100.00,1.57,0.15,10.00,98.58,91.98,100.00,1.58,0.15,10.00,99.05,92.45,100.00,1.60,0.15,10.00,98.12,93.46,100.00,1.69,0.14,11,99,95,100
DJIBOUTI,DJI,-0.86,0.30,3.00,21.63,10.05,37.80,-0.99,0.30,3.00,19.23,8.61,34.93,-0.82,0.27,4.00,24.04,11.96,37.32,-0.81,0.23,5.00,24.04,15.79,38.28,-0.63,0.22,5.00,29.33,21.53,39.71,-0.73,0.23,6.00,26.44,18.66,36.84,-1.06,0.21,7.00,17.31,9.57,27.27,-1.10,0.16,8.00,17.79,9.57,25.36,-1.18,0.16,8.00,13.46,9.09,22.49,-1.18,0.16,9.00,14.90,9.57,22.01,-1.18,0.16,9.00,13.74,8.96,21.70,-1.25,0.16,9.00,13.27,7.55,19.81,-1.40,0.16,9.00,9.86,4.67,14.49,-1.42,0.15,9,8,4,15
DOMINICA,DMA,1.01,0.30,3.00,77.40,64.11,93.78,1.07,0.30,3.00,80.77,66.03,98.09,1.07,0.30,3.00,81.73,65.55,96.65,1.11,0.27,3.00,84.13,68.42,99.04,1.08,0.27,3.00,84.62,66.99,97.13,1.00,0.27,4.00,81.73,65.07,91.39,0.98,0.27,4.00,78.37,64.11,91.87,1.04,0.24,3.00,79.33,67.94,95.22,1.03,0.23,3.00,80.29,67.46,95.22,1.06,0.23,3.00,82.69,68.90,95.22,1.04,0.23,3.00,81.04,67.92,94.34,1.01,0.24,3.00,77.25,67.92,94.34,1.00,0.23,3.00,77.46,67.29,93.93,0.96,0.25,3,76,65,93
DOMINICAN REPUBLIC,DOM,-0.04,0.22,5.00,50.96,35.89,60.29,-0.05,0.23,5.00,48.08,36.36,58.37,0.12,0.23,5.00,51.92,43.54,63.16,0.20,0.18,7.00,53.37,45.93,62.20,0.02,0.17,8.00,46.63,39.71,55.50,0.03,0.17,11.00,50.00,41.63,57.42,-0.09,0.17,11.00,47.12,36.36,56.46,0.17,0.14,13.00,53.85,45.93,58.85,0.16,0.14,14.00,54.33,46.89,57.89,0.11,0.14,14.00,52.40,45.45,57.89,0.06,0.14,14.00,51.18,42.45,56.60,0.03,0.13,14.00,49.76,41.51,55.66,0.02,0.13,15.00,51.17,42.52,56.07,0.05,0.12,14,53,44,57
ECUADOR,ECU,-0.13,0.21,6.00,47.12,34.93,56.46,-0.03,0.22,6.00,49.52,36.84,58.37,-0.43,0.21,7.00,35.10,26.32,48.80,-0.14,0.17,9.00,44.71,38.76,52.15,-0.18,0.17,9.00,40.87,35.41,49.76,-0.30,0.15,12.00,39.42,31.58,47.37,-0.43,0.15,13.00,34.13,28.23,43.54,-0.33,0.12,14.00,36.06,32.06,44.02,-0.23,0.12,15.00,40.87,35.41,46.89,-0.29,0.12,15.00,39.90,33.01,45.45,-0.28,0.11,16.00,39.34,33.02,45.28,-0.26,0.11,16.00,38.39,34.91,47.64,-0.33,0.12,15.00,37.09,31.31,44.39,-0.33,0.11,16,38,32,44
"EGYPT, ARAB REP.",EGY,-0.76,0.22,5.00,24.04,14.83,36.84,-0.82,0.23,5.00,24.52,12.92,36.36,-0.79,0.21,7.00,24.52,16.27,33.97,-1.08,0.16,9.00,18.75,11.00,23.92,-1.08,0.16,9.00,19.23,10.05,25.84,-0.95,0.14,12.00,21.15,16.27,26.79,-0.95,0.14,13.00,22.12,13.40,27.27,-1.16,0.11,15.00,16.35,10.05,21.53,-1.12,0.11,15.00,16.83,10.05,21.05,-1.18,0.11,15.00,15.38,10.05,19.62,-1.12,0.11,16.00,14.69,10.38,21.23,-1.15,0.11,16.00,13.74,11.32,20.28,-1.11,0.11,16.00,15.49,11.68,23.36,-0.74,0.11,17,27,23,31
EL SALVADOR,SLV,-0.15,0.21,6.00,46.63,34.93,55.02,-0.01,0.22,6.00,50.48,37.32,59.33,-0.11,0.21,7.00,48.56,33.97,55.98,0.11,0.17,9.00,50.96,44.02,60.29,0.17,0.17,9.00,51.92,44.50,61.24,0.11,0.17,11.00,51.92,44.02,61.24,-0.01,0.16,12.00,50.00,39.71,58.85,0.08,0.14,13.00,50.96,42.58,56.46,0.08,0.14,13.00,49.52,44.02,56.94,0.09,0.14,13.00,50.48,44.50,57.89,0.05,0.12,14.00,50.71,43.87,56.13,0.05,0.12,14.00,51.18,42.92,55.66,0.01,0.12,15.00,50.23,42.99,55.61,-0.08,0.11,16,46,41,55
EQUATORIAL GUINEA,GNQ,-1.54,0.26,4.00,6.73,0.48,15.31,-1.57,0.26,4.00,6.73,1.44,13.40,-1.62,0.24,5.00,4.81,0.96,12.44,-1.64,0.21,6.00,5.29,1.44,12.44,-1.70,0.20,6.00,4.33,0.96,10.05,-1.64,0.19,7.00,5.29,1.44,9.57,-1.67,0.18,7.00,4.81,1.91,10.05,-1.81,0.17,7.00,3.85,0.96,7.66,-1.89,0.16,8.00,3.37,0.96,6.22,-1.90,0.16,8.00,2.88,0.48,6.22,-1.81,0.16,8.00,3.32,2.36,7.08,-1.87,0.15,9.00,3.32,0.94,6.13,-1.90,0.15,9.00,2.35,0.93,4.67,-1.87,0.15,8,2,2,5
ERITREA,ERI,-1.26,0.30,3.00,12.98,3.83,23.92,-1.07,0.30,3.00,16.35,7.18,32.06,-1.37,0.27,4.00,10.10,2.87,21.05,-1.76,0.19,6.00,2.88,0.48,10.05,-1.90,0.18,6.00,1.44,0.48,6.70,-1.85,0.18,8.00,1.44,0.48,6.22,-2.14,0.17,9.00,0.96,0.00,3.35,-2.03,0.13,10.00,1.92,0.48,3.83,-2.08,0.13,9.00,1.92,0.00,3.83,-2.12,0.12,10.00,0.96,0.00,2.87,-2.16,0.13,10.00,0.47,0.00,2.83,-2.16,0.12,10.00,0.47,0.00,2.83,-2.17,0.12,10.00,0.47,0.00,2.34,-2.15,0.13,9,1,0,2
ESTONIA,EST,0.87,0.26,4.00,74.04,62.20,88.52,1.00,0.23,5.00,77.40,66.03,91.87,0.95,0.22,6.00,76.92,65.55,89.47,1.06,0.17,8.00,80.77,70.33,91.87,1.06,0.17,9.00,83.17,70.81,93.30,1.10,0.17,9.00,84.62,75.12,90.43,1.01,0.17,9.00,80.29,71.29,89.95,1.05,0.14,11.00,82.69,73.68,91.39,1.06,0.14,11.00,81.73,71.77,91.39,1.07,0.14,11.00,83.17,72.25,90.91,1.08,0.14,11.00,83.41,71.70,91.98,1.10,0.14,11.00,83.41,73.11,92.45,1.12,0.13,12.00,85.92,74.77,92.52,1.09,0.13,12,84,74,92
ETHIOPIA,ETH,-1.11,0.22,5.00,14.90,8.61,24.88,-0.97,0.23,5.00,21.15,11.00,32.06,-1.00,0.21,6.00,19.71,10.53,29.19,-1.23,0.17,8.00,13.46,8.13,20.57,-1.07,0.16,9.00,19.71,10.05,25.84,-1.14,0.15,11.00,17.31,8.61,22.01,-1.22,0.15,12.00,12.50,8.13,20.10,-1.16,0.11,15.00,15.87,10.05,21.53,-1.17,0.12,15.00,14.42,9.57,20.10,-1.28,0.11,15.00,11.54,8.61,16.75,-1.28,0.11,15.00,12.32,8.02,16.51,-1.31,0.11,15.00,11.37,7.55,14.15,-1.33,0.11,16.00,11.27,7.94,14.49,-1.28,0.11,16,12,7,17
FIJI,FJI,0.05,0.30,3.00,52.88,35.41,64.11,0.14,0.30,3.00,52.88,39.23,66.03,-0.58,0.30,3.00,30.77,18.66,48.80,-0.03,0.27,3.00,48.08,37.32,60.29,0.12,0.25,4.00,50.48,39.71,63.64,-0.02,0.26,4.00,48.08,34.45,61.24,0.08,0.26,4.00,53.85,36.36,64.11,-0.33,0.19,5.00,36.54,30.62,45.93,-0.50,0.18,6.00,32.69,25.36,42.11,-0.56,0.17,6.00,29.81,25.36,40.67,-0.78,0.17,7.00,27.96,16.51,31.13,-1.00,0.17,7.00,18.48,12.26,29.25,-0.98,0.17,7.00,18.78,12.62,28.50,-0.87,0.16,7,23,16,29
FINLAND,FIN,1.56,0.22,6.00,97.12,86.60,100.00,1.51,0.23,6.00,97.12,85.17,100.00,1.66,0.22,7.00,99.52,88.52,100.00,1.59,0.20,8.00,100.00,89.00,100.00,1.57,0.19,8.00,99.04,89.95,100.00,1.81,0.19,8.00,99.52,93.78,100.00,1.70,0.19,8.00,99.52,90.91,100.00,1.55,0.17,9.00,98.08,90.91,100.00,1.50,0.17,9.00,96.63,89.47,100.00,1.51,0.17,9.00,96.63,89.95,100.00,1.49,0.15,10.00,96.68,91.04,100.00,1.52,0.15,10.00,96.68,91.51,100.00,1.55,0.15,10.00,96.24,92.06,100.00,1.62,0.14,11,97,93,100
FRANCE,FRA,1.31,0.22,6.00,88.94,75.60,99.52,1.14,0.23,6.00,85.58,70.33,97.13,1.16,0.22,7.00,86.06,72.25,95.69,1.12,0.20,8.00,85.10,71.29,95.69,1.09,0.19,8.00,85.58,70.81,94.26,1.44,0.19,8.00,91.35,84.69,99.04,1.47,0.18,9.00,94.23,87.56,100.00,1.30,0.16,11.00,91.83,81.34,98.09,1.26,0.15,12.00,91.35,79.90,96.17,1.31,0.15,12.00,91.35,82.78,98.09,1.24,0.15,12.00,91.47,77.83,95.75,1.20,0.15,11.00,88.63,75.94,94.81,1.17,0.14,12.00,86.85,74.77,93.93,1.22,0.13,12,90,78,94
