,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
"CONGO, DEM. REP.",ZAR,-2.06,0.47,2,0,0,5,-1.90,0.33,4,0,0,2,-1.57,0.31,4,1,0,10,-1.26,0.31,4,3,0,30,-1.41,0.25,5,3,0,13,-1.43,0.19,7,3,0,11,-1.43,0.19,7,4,0,12,-1.48,0.21,7,3,0,10,-1.31,0.22,8,5,1,16,-1.17,0.22,8,7,2,22,-1.36,0.18,10,4,1,14,-1.42,0.18,11,2,0,11,-1.40,0.17,11,3,1,12,-1.30,0.17,11,4,0,16
"CONGO, REP.",COG,-1.11,0.47,2,10,0,43,-1.13,0.33,4,8,2,33,-0.96,0.31,4,12,3,40,-0.87,0.31,4,25,1,43,-0.94,0.28,4,16,4,40,-0.84,0.25,5,20,9,42,-1.02,0.19,7,15,6,30,-1.05,0.19,8,13,4,26,-1.09,0.19,8,10,3,22,-1.13,0.19,8,9,3,22,-1.18,0.19,8,8,2,21,-1.11,0.18,8,11,3,22,-1.08,0.18,8,13,4,23,-1.19,0.17,9,10,1,20
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.27,0.37,1,49,20,66,-0.21,0.37,1,51,27,69,-0.23,0.45,1,50,15,72,0.07,0.78,1,58,10,90,0.60,0.70,1,71,37,93,0.64,0.79,1,74,29,94,1.06,0.82,1,82,49,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.57,0.59,1,32,1,70,-0.24,0.59,1,51,7,74,-0.21,0.60,1,55,8,74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,0.57,0.27,4,74,63,83,0.78,0.21,4,80,67,84,0.76,0.23,6,79,67,84,0.59,0.18,6,74,64,83,0.70,0.19,7,76,68,83,0.30,0.17,10,65,57,73,0.39,0.18,10,67,58,72,0.32,0.18,11,67,59,73,0.40,0.18,12,70,60,74,0.44,0.18,11,70,62,74,0.71,0.20,10,73,70,81,0.65,0.19,9,72,67,80,0.58,0.19,9,72,66,79,0.58,0.17,10,71,65,78
C?TE D'IVOIRE,CIV,0.20,0.30,3,63,43,77,-0.30,0.20,5,43,33,61,-0.69,0.24,5,27,8,48,-0.82,0.19,5,27,9,37,-0.98,0.21,6,14,5,33,-1.22,0.19,7,9,2,17,-1.24,0.20,6,9,1,18,-1.18,0.18,7,9,3,19,-1.07,0.18,7,11,3,22,-1.09,0.16,9,10,4,21,-1.08,0.17,11,12,4,23,-1.14,0.17,11,10,3,21,-1.09,0.17,11,13,4,21,-0.91,0.15,12,20,11,28
CROATIA,HRV,-0.82,0.31,2,24,5,43,-0.72,0.19,5,28,13,40,-0.21,0.21,6,53,33,64,0.25,0.16,7,63,57,70,0.16,0.15,8,60,55,69,0.20,0.15,10,61,56,70,0.14,0.14,10,59,54,67,0.09,0.14,11,60,54,67,0.08,0.14,11,59,55,69,-0.04,0.13,11,57,49,63,-0.10,0.14,11,57,47,62,-0.03,0.13,11,58,50,64,0.01,0.13,12,58,55,64,-0.04,0.12,13,57,51,63
CUBA,CUB,0.46,0.30,3,71,58,83,0.55,0.22,3,70,64,81,0.51,0.30,3,71,60,84,0.51,0.20,3,71,62,82,0.28,0.23,4,64,55,75,0.25,0.23,5,63,54,75,0.31,0.21,5,64,55,72,0.21,0.20,5,63,55,72,0.28,0.20,5,67,57,73,0.28,0.19,5,66,57,74,0.35,0.22,5,68,59,73,0.41,0.21,5,70,61,74,0.35,0.20,5,68,58,73,0.30,0.19,6,65,58,72
CYPRUS,CYP,1.80,0.30,3,93,86,99,1.30,0.22,3,85,83,93,1.23,0.30,3,86,77,93,1.28,0.20,3,86,83,92,1.21,0.25,3,85,77,92,0.89,0.23,4,80,71,87,0.89,0.21,4,80,70,84,1.09,0.23,5,83,75,92,1.08,0.24,5,83,74,92,1.24,0.23,5,85,79,92,0.93,0.21,6,79,72,86,1.00,0.21,6,81,73,88,0.89,0.20,6,79,72,84,1.24,0.19,7,85,78,91
CZECH REPUBLIC,CZE,0.65,0.23,5,77,65,83,0.55,0.17,7,70,65,80,0.08,0.18,8,62,51,67,0.36,0.15,8,67,62,74,0.44,0.14,9,71,62,75,0.38,0.14,10,69,60,74,0.46,0.14,9,68,62,72,0.30,0.14,11,67,60,71,0.23,0.13,12,63,58,70,0.27,0.13,12,65,60,71,0.33,0.14,11,67,60,72,0.26,0.13,12,65,59,72,0.30,0.13,13,66,61,72,0.23,0.12,13,64,60,69
DENMARK,DNK,2.37,0.23,5,100,95,100,2.36,0.19,5,100,94,100,2.52,0.23,5,100,95,100,2.40,0.18,5,100,95,100,2.45,0.20,5,100,97,100,2.51,0.18,6,100,98,100,2.31,0.18,6,99,97,100,2.55,0.19,7,100,98,100,2.53,0.19,7,100,97,100,2.47,0.19,7,100,96,100,2.52,0.18,8,100,98,100,2.41,0.19,8,100,97,100,2.45,0.18,8,100,97,100,2.39,0.16,9,100,97,100
DJIBOUTI,DJI,-0.47,0.56,1,36,5,67,-0.73,0.34,3,27,4,54,-0.95,0.33,3,15,3,41,-0.71,0.34,3,33,3,54,-0.84,0.30,3,21,4,46,-0.51,0.26,4,37,16,55,-0.68,0.26,4,30,12,50,-0.62,0.26,4,32,14,52,-0.47,0.26,4,40,19,57,-0.19,0.26,5,51,32,63,-0.29,0.23,6,50,28,60,-0.32,0.23,6,48,28,60,-0.30,0.23,6,47,27,60,-0.38,0.23,6,45,26,59
DOMINICA,DMA,0.90,0.56,1,82,61,93,0.40,0.38,2,67,48,83,0.27,0.35,2,65,48,81,0.49,0.37,2,70,54,83,0.49,0.31,2,72,57,83,0.61,0.29,3,75,59,83,0.70,0.27,3,73,62,83,0.66,0.33,2,75,61,84,0.67,0.32,2,74,60,85,0.69,0.32,2,74,63,85,0.74,0.34,2,74,64,86,0.74,0.34,2,74,63,86,0.74,0.33,2,74,64,86,0.69,0.33,2,73,62,85
DOMINICAN REPUBLIC,DOM,-0.10,0.30,3,55,29,67,-0.71,0.21,4,29,11,41,-0.62,0.25,4,31,10,53,-0.36,0.18,5,43,33,56,-0.63,0.19,6,33,15,47,-0.45,0.18,9,41,25,52,-0.59,0.18,10,35,19,48,-0.63,0.16,12,31,19,44,-0.68,0.16,12,28,17,41,-0.67,0.16,12,29,17,43,-0.72,0.17,12,26,16,40,-0.81,0.17,11,22,13,36,-0.76,0.16,12,23,17,37,-0.83,0.16,11,23,13,34
ECUADOR,ECU,-0.91,0.30,3,21,3,40,-1.02,0.21,4,13,2,31,-1.01,0.23,6,10,3,31,-0.98,0.18,6,16,2,33,-0.80,0.19,7,23,9,40,-0.67,0.17,11,28,16,45,-0.75,0.18,11,26,14,39,-0.80,0.18,12,23,11,37,-0.87,0.18,13,20,9,34,-0.79,0.18,12,22,10,38,-0.89,0.17,13,20,8,31,-0.86,0.17,13,20,10,33,-0.79,0.17,12,22,14,37,-0.66,0.15,13,28,20,43
"EGYPT, ARAB REP.",EGY,-0.07,0.27,4,57,32,67,-0.25,0.18,6,46,35,62,-0.39,0.22,6,44,26,58,-0.29,0.18,6,47,34,58,-0.47,0.19,7,41,25,53,-0.54,0.18,9,35,20,50,-0.52,0.18,9,38,22,50,-0.66,0.16,11,29,18,41,-0.67,0.16,11,29,17,41,-0.71,0.16,11,27,16,41,-0.42,0.17,12,41,27,55,-0.55,0.17,12,34,22,50,-0.65,0.16,12,28,19,43,-0.57,0.15,14,34,24,47
EL SALVADOR,SLV,-0.90,0.27,4,21,5,37,-0.81,0.21,4,25,7,39,-0.50,0.23,6,36,20,56,-0.76,0.18,6,30,11,39,-0.37,0.19,7,44,29,56,-0.40,0.18,9,44,27,54,-0.42,0.18,9,42,29,52,-0.19,0.18,10,52,37,61,-0.29,0.19,10,49,33,58,-0.30,0.19,10,48,32,59,-0.20,0.18,12,53,38,60,-0.23,0.18,12,51,35,61,-0.21,0.17,13,54,38,60,-0.38,0.15,14,44,30,54
EQUATORIAL GUINEA,GNQ,-1.25,0.31,2,6,1,27,-1.21,0.20,4,5,2,21,-1.53,0.25,4,2,0,7,-1.34,0.20,4,1,0,14,-1.55,0.23,4,1,0,9,-1.71,0.22,5,0,0,5,-1.61,0.22,4,0,0,9,-1.53,0.24,4,2,0,10,-1.54,0.24,4,2,0,9,-1.51,0.24,4,2,0,10,-1.50,0.24,4,1,0,11,-1.49,0.23,5,1,0,12,-1.49,0.23,5,2,0,12,-1.56,0.25,4,0,0,11
ERITREA,ERI,0.44,0.56,1,70,36,87,0.85,0.34,3,81,65,91,0.61,0.33,3,74,63,85,0.06,0.34,3,60,37,75,-0.07,0.26,4,56,40,67,-0.15,0.23,6,52,36,62,-0.21,0.23,6,50,34,60,-0.25,0.20,7,49,34,60,-0.49,0.21,6,37,21,55,-0.32,0.20,7,47,30,59,-0.43,0.21,7,40,24,58,-0.47,0.21,7,38,22,55,-0.57,0.20,7,34,19,52,-0.65,0.22,6,29,16,50
ESTONIA,EST,-0.06,0.31,2,58,31,70,0.57,0.19,5,71,65,81,0.65,0.20,7,75,66,83,0.64,0.15,8,76,69,83,0.79,0.14,9,77,73,83,0.92,0.14,10,81,76,85,0.97,0.13,10,80,74,84,0.96,0.14,11,80,75,84,0.91,0.13,11,79,74,85,0.87,0.13,11,79,74,82,0.91,0.14,10,78,73,84,0.86,0.13,10,79,72,83,0.93,0.13,11,80,73,84,0.98,0.12,12,80,74,83
ETHIOPIA,ETH,-1.15,0.30,3,9,2,28,-0.69,0.20,5,30,13,41,-0.49,0.24,5,38,19,57,-0.73,0.19,5,32,12,41,-0.68,0.19,7,30,13,45,-0.72,0.18,9,26,15,42,-0.77,0.17,10,24,14,39,-0.62,0.15,13,31,19,44,-0.61,0.16,13,33,21,45,-0.66,0.16,12,30,18,43,-0.72,0.17,12,26,17,40,-0.70,0.17,13,28,17,41,-0.68,0.16,14,27,19,41,-0.60,0.15,13,32,22,47
FIJI,FJI,0.44,0.56,1,70,36,87,0.14,0.38,2,64,38,79,0.04,0.35,2,60,33,74,0.03,0.37,2,59,34,75,-0.29,0.31,2,48,25,62,-0.08,0.31,2,56,33,70,-0.61,0.28,2,34,14,52,-0.27,0.30,3,48,24,63,-0.36,0.30,3,43,21,60,-0.39,0.31,3,43,19,61,-0.74,0.31,3,25,6,51,-0.85,0.30,4,21,3,45,-0.44,0.29,4,39,19,58,-0.44,0.28,4,41,20,60
FINLAND,FIN,2.36,0.23,5,100,94,100,2.37,0.19,5,100,94,100,2.59,0.23,5,100,95,100,2.46,0.18,5,100,96,100,2.48,0.20,5,100,97,100,2.53,0.18,6,100,98,100,2.35,0.18,6,100,98,100,2.55,0.19,7,100,98,100,2.47,0.19,7,100,96,100,2.41,0.19,7,99,96,100,2.30,0.18,8,99,95,100,2.18,0.19,8,98,94,100,2.22,0.18,8,99,94,100,2.22,0.16,9,98,95,100
FRANCE,FRA,1.26,0.23,5,86,80,92,1.40,0.19,5,91,84,93,1.36,0.23,5,87,83,93,1.24,0.18,5,84,83,91,1.34,0.20,5,90,83,92,1.34,0.18,6,90,83,92,1.35,0.18,6,91,83,92,1.46,0.16,8,92,84,92,1.44,0.17,9,92,85,92,1.38,0.17,9,91,83,92,1.42,0.18,9,90,84,92,1.44,0.19,8,89,83,93,1.52,0.17,9,90,86,93,1.42,0.16,9,90,83,93
FRENCH GUIANA,GUF,0.90,0.56,1,82,61,93,0.92,0.51,1,82,62,93,0.91,0.50,1,83,63,93,0.85,0.47,1,82,61,92,0.83,0.38,1,80,61,91,0.78,0.39,1,77,60,92,0.80,0.32,1,78,63,89,0.80,0.42,1,78,61,92,0.82,0.41,1,78,60,92,0.84,0.40,1,78,63,92,1.11,0.29,2,84,73,91,1.13,0.29,2,84,73,92,1.12,0.28,2,84,73,92,1.11,0.30,2,83,72,91
GABON,GAB,-1.02,0.30,3,16,3,31,-0.87,0.20,5,21,6,35,-0.50,0.24,5,37,18,57,-0.42,0.19,5,40,32,54,-0.47,0.22,5,40,19,54,-0.76,0.21,6,23,11,43,-0.55,0.21,6,37,19,51,-0.96,0.18,8,17,8,29,-1.03,0.18,8,12,4,25,-1.02,0.18,8,14,4,26,-0.94,0.20,7,18,6,30,-0.78,0.20,7,23,13,38,-0.79,0.19,7,23,12,39,-0.55,0.18,8,36,22,51
"GAMBIA, THE",GMB,-0.44,0.47,2,39,7,66,-0.53,0.33,4,36,10,61,-0.41,0.31,4,41,17,63,-0.44,0.31,4,40,20,61,-0.33,0.25,5,46,27,58,-0.59,0.22,6,32,16,50,-0.71,0.21,6,29,14,48,-0.74,0.19,7,25,12,39,-0.77,0.20,7,23,10,41,-0.75,0.20,7,24,12,42,-0.56,0.20,7,32,20,51,-0.56,0.20,7,33,19,51,-0.50,0.19,7,37,21,56,-0.64,0.19,7,30,18,47
GEORGIA,GEO,-1.39,0.56,1,5,0,33,-0.78,0.29,3,26,4,43,-0.88,0.26,4,20,5,40,-1.14,0.24,4,7,0,31,-0.65,0.18,5,32,16,46,-0.61,0.16,8,29,19,47,-0.36,0.16,8,47,33,53,-0.04,0.16,11,58,46,63,-0.25,0.16,12,51,37,57,-0.22,0.14,12,50,40,59,-0.22,0.15,12,52,39,60,-0.12,0.14,12,56,46,62,-0.02,0.14,12,57,51,64,0.25,0.13,14,64,60,70
GERMANY,DEU,1.99,0.23,5,95,92,100,2.16,0.19,5,95,93,100,1.90,0.23,5,93,92,96,2.01,0.18,5,94,92,98,1.94,0.20,5,94,92,98,1.86,0.18,6,93,92,97,1.86,0.18,6,94,92,98,1.79,0.16,8,93,92,96,1.70,0.17,8,92,91,94,1.73,0.17,8,93,92,95,1.72,0.18,7,93,90,95,1.74,0.19,8,93,89,95,1.71,0.17,10,93,89,95,1.78,0.16,10,94,90,96
GHANA,GHA,-0.22,0.30,3,49,28,65,-0.17,0.20,5,54,38,64,-0.07,0.24,5,58,40,66,-0.29,0.19,6,47,34,59,-0.24,0.19,8,49,37,58,-0.22,0.17,10,50,37,57,-0.36,0.17,10,46,31,55,-0.02,0.16,12,58,48,64,0.05,0.16,12,59,53,69,-0.04,0.15,13,57,48,63,0.03,0.16,14,60,51,67,0.06,0.16,14,60,53,67,0.05,0.15,15,59,55,67,-0.09,0.15,15,56,48,62
GREECE,GRC,0.34,0.23,5,66,58,77,1.06,0.19,5,84,79,88,0.76,0.23,5,78,67,84,0.44,0.18,5,69,62,78,0.42,0.20,5,69,58,76,0.49,0.18,6,71,61,77,0.37,0.18,6,66,58,72,0.35,0.16,8,68,60,73,0.25,0.17,8,65,57,73,0.10,0.17,8,61,54,68,0.01,0.18,8,59,50,67,-0.16,0.18,9,54,38,63,-0.18,0.18,9,56,38,62,-0.25,0.16,10,51,39,59
GREENLAND,GRL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.17,0.37,1,85,72,94,1.20,0.36,1,85,72,93,1.22,0.37,1,85,73,94,1.21,0.40,1,85,70,95
GRENADA,GRD,0.90,0.56,1,82,61,93,0.59,0.38,2,73,57,84,0.48,0.35,2,71,57,84,0.66,0.37,2,77,60,85,0.65,0.31,2,75,59,84,0.61,0.29,3,75,59,83,0.70,0.27,3,73,62,83,0.57,0.30,3,73,59,83,0.37,0.32,2,69,55,78,0.39,0.32,2,69,56,80,0.35,0.31,3,69,55,76,0.44,0.31,3,71,56,80,0.44,0.30,3,70,56,80,0.40,0.33,2,69,54,79
GUAM,GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.37,0.39,1,68,48,83,0.80,0.32,1,78,63,89,0.80,0.42,1,78,61,92,0.82,0.41,1,78,60,92,0.84,0.40,1,78,63,92,0.86,0.42,1,78,64,91,0.85,0.43,1,78,63,91,0.83,0.40,1,76,63,90,0.82,0.42,1,77,62,90
GUATEMALA,GTM,-0.82,0.27,4,23,6,40,-0.85,0.21,4,24,6,38,-0.68,0.23,6,28,9,48,-0.50,0.18,6,38,28,51,-0.67,0.19,8,31,13,46,-0.54,0.17,11,36,21,50,-0.63,0.18,11,33,18,48,-0.74,0.16,14,26,15,38,-0.69,0.16,14,27,15,41,-0.62,0.16,13,32,19,44,-0.48,0.18,12,38,24,54,-0.48,0.17,13,38,25,53,-0.47,0.16,14,39,25,55,-0.61,0.15,14,31,22,46
GUINEA,GIN,-0.46,0.47,2,37,7,65,-0.73,0.33,4,28,4,53,-0.75,0.31,4,26,5,51,-0.52,0.31,4,36,13,57,-0.75,0.25,5,27,9,46,-0.84,0.22,6,20,10,40,-1.01,0.22,6,15,6,31,-1.04,0.19,7,13,4,27,-1.24,0.20,7,7,2,17,-1.15,0.20,8,8,3,21,-1.05,0.20,8,14,3,27,-1.19,0.20,8,9,1,19,-1.17,0.19,8,9,2,20,-1.11,0.17,10,12,3,23
GUINEA-BISSAU,GNB,-1.09,0.47,2,12,0,43,-1.14,0.33,4,7,2,33,-0.97,0.31,4,12,3,40,-0.85,0.31,4,26,1,44,-1.07,0.28,4,10,2,33,-1.14,0.25,5,10,2,26,-1.10,0.24,5,12,1,30,-0.98,0.24,5,16,4,33,-1.14,0.25,5,9,2,25,-1.09,0.25,5,11,3,29,-1.10,0.27,5,11,1,28,-1.06,0.26,5,14,2,31,-1.05,0.25,5,14,2,30,-1.22,0.22,5,9,0,22
GUYANA,GUY,-0.44,0.47,2,39,7,66,-0.36,0.36,3,41,16,65,-0.38,0.34,3,44,16,64,-0.41,0.33,3,41,18,62,-0.45,0.29,3,42,17,57,-0.45,0.27,4,41,17,57,-0.58,0.22,6,36,18,50,-0.62,0.20,8,32,17,47,-0.63,0.20,9,32,15,49,-0.53,0.21,7,37,19,54,-0.54,0.20,8,35,21,52,-0.55,0.20,8,34,19,52,-0.60,0.20,8,32,19,50,-0.75,0.19,9,26,14,40
HAITI,HTI,-1.11,0.47,2,10,0,43,-1.31,0.36,3,3,0,29,-1.30,0.34,3,5,0,26,-1.79,0.28,4,0,0,2,-1.82,0.23,6,0,0,3,-1.52,0.24,6,2,0,11,-1.45,0.23,6,3,0,14,-1.32,0.21,8,5,1,17,-1.28,0.21,8,6,1,17,-1.21,0.20,9,6,2,19,-1.10,0.19,10,11,3,23,-1.21,0.18,10,7,1,19,-1.23,0.17,11,7,2,18,-1.24,0.17,11,6,1,18
HONDURAS,HND,-1.03,0.27,4,13,3,29,-0.87,0.21,4,22,5,36,-0.89,0.23,6,20,5,35,-0.96,0.18,6,17,3,33,-0.84,0.19,7,20,9,40,-0.81,0.18,10,21,11,37,-0.74,0.18,10,27,14,39,-0.75,0.18,11,24,13,39,-0.69,0.19,11,27,14,42,-0.84,0.18,11,20,9,36,-0.87,0.18,12,21,10,31,-0.87,0.17,12,20,10,33,-0.80,0.17,12,22,14,37,-0.94,0.17,12,18,10,28
"HONG KONG SAR, CHINA",HKG,1.50,0.18,6,91,85,93,1.42,0.17,6,92,84,93,1.40,0.19,6,91,84,93,1.87,0.16,6,93,92,96,1.90,0.17,6,93,92,97,1.92,0.16,7,94,92,97,1.81,0.15,7,93,92,98,1.87,0.15,9,94,92,96,1.91,0.16,9,94,92,96,1.90,0.15,9,94,92,96,1.90,0.15,9,94,91,97,1.97,0.15,9,95,93,99,1.86,0.16,10,94,92,97,1.71,0.15,10,93,90,95
HUNGARY,HUN,0.58,0.23,5,74,64,83,0.65,0.17,7,76,67,83,0.69,0.18,8,76,69,83,0.52,0.15,8,71,64,79,0.60,0.14,9,74,67,80,0.65,0.14,9,76,70,80,0.62,0.14,9,72,67,79,0.61,0.13,11,73,69,78,0.56,0.13,11,73,69,74,0.38,0.12,13,68,63,73,0.34,0.13,13,68,61,72,0.25,0.13,12,65,59,72,0.32,0.13,12,67,61,72,0.28,0.12,13,65,61,70
ICELAND,ISL,1.68,0.28,4,92,85,96,2.01,0.29,4,94,92,100,2.34,0.28,4,98,93,100,2.28,0.26,4,98,92,100,2.32,0.23,4,99,93,100,2.26,0.20,5,98,94,100,2.33,0.19,5,100,97,100,2.25,0.19,6,99,94,100,2.27,0.19,6,99,94,100,2.44,0.19,6,100,96,100,2.06,0.22,6,96,92,99,1.94,0.20,7,94,92,99,1.95,0.19,7,95,92,99,1.86,0.17,8,95,91,97
INDIA,IND,-0.40,0.18,6,40,28,54,-0.28,0.16,7,44,35,59,-0.37,0.18,7,46,30,58,-0.50,0.16,7,38,30,49,-0.44,0.16,8,43,29,51,-0.41,0.14,10,43,28,50,-0.40,0.14,10,43,33,52,-0.30,0.13,13,46,37,56,-0.42,0.14,13,41,30,53,-0.36,0.14,13,44,33,56,-0.48,0.14,13,39,27,51,-0.51,0.14,13,36,26,49,-0.57,0.14,14,33,21,47,-0.57,0.13,14,35,24,47
INDONESIA,IDN,-0.56,0.18,6,31,23,44,-1.08,0.16,7,10,2,25,-0.89,0.16,8,19,6,31,-1.13,0.14,8,8,1,24,-0.96,0.15,10,15,9,28,-0.89,0.14,12,17,11,28,-0.86,0.14,12,20,14,33,-0.81,0.13,15,21,14,33,-0.58,0.14,15,34,22,44,-0.56,0.14,14,34,23,44,-0.82,0.14,14,23,15,31,-0.75,0.14,14,25,18,36,-0.68,0.14,15,27,19,39,-0.66,0.13,15,29,21,41
"IRAN, ISLAMIC REP.",IRN,-0.65,0.30,3,28,9,52,-0.77,0.22,3,26,8,40,-0.57,0.30,3,32,9,57,-0.22,0.19,4,50,35,62,-0.30,0.21,5,48,33,57,-0.42,0.21,7,43,24,55,-0.44,0.20,7,40,25,52,-0.48,0.18,9,38,23,52,-0.46,0.18,8,40,24,55,-0.71,0.18,8,28,15,43,-0.86,0.20,8,22,8,36,-0.99,0.19,8,16,5,29,-0.92,0.17,9,19,8,30,-0.82,0.16,9,24,13,36
IRAQ,IRQ,-1.53,0.30,3,2,0,13,-1.25,0.22,3,4,2,20,-1.47,0.30,3,3,0,11,-1.30,0.20,3,2,0,17,-1.22,0.23,4,8,1,20,-1.56,0.23,4,1,0,10,-1.46,0.22,4,2,0,12,-1.56,0.24,4,1,0,10,-1.58,0.24,4,1,0,9,-1.57,0.23,7,1,0,7,-1.39,0.22,8,3,0,15,-1.31,0.20,9,4,1,16,-1.21,0.19,8,8,2,19,-1.23,0.17,9,8,1,18
IRELAND,IRL,1.79,0.23,5,93,89,96,1.58,0.19,5,93,84,93,1.44,0.23,5,91,84,93,1.40,0.18,5,90,83,92,1.49,0.20,5,92,84,93,1.30,0.18,6,88,83,92,1.57,0.18,6,92,88,94,1.71,0.16,8,92,91,95,1.75,0.17,8,93,92,95,1.76,0.17,8,93,92,96,1.77,0.18,8,94,91,96,1.70,0.19,8,93,89,95,1.54,0.18,9,91,86,94,1.45,0.17,9,90,83,93
ISRAEL,ISR,1.47,0.23,5,90,84,93,1.29,0.19,5,85,83,93,1.01,0.23,5,84,74,90,1.29,0.18,5,86,83,92,1.07,0.20,5,83,76,91,0.93,0.18,6,81,75,85,0.81,0.18,6,78,70,83,1.00,0.16,9,81,75,85,0.81,0.17,9,76,73,84,0.84,0.17,9,79,73,83,0.75,0.18,8,74,71,82,0.67,0.19,8,73,68,80,0.71,0.18,8,73,69,80,0.83,0.17,8,78,70,83
ITALY,ITA,0.36,0.23,5,67,61,78,0.52,0.19,5,69,64,81,0.72,0.23,5,77,66,84,0.54,0.18,5,72,63,80,0.53,0.20,5,73,62,80,0.38,0.18,6,68,58,76,0.40,0.18,6,67,58,72,0.46,0.16,8,71,63,75,0.31,0.17,8,68,58,73,0.25,0.17,8,65,58,72,0.13,0.18,8,62,54,71,0.00,0.18,10,58,49,67,0.08,0.17,11,61,55,68,-0.03,0.16,11,58,50,64
JAMAICA,JAM,-0.22,0.30,3,49,28,65,-0.17,0.21,4,53,38,64,-0.17,0.23,5,54,33,65,-0.74,0.18,5,31,12,40,-0.54,0.19,6,38,18,50,-0.45,0.19,7,42,24,53,-0.40,0.18,7,44,30,54,-0.40,0.18,9,41,27,56,-0.49,0.19,8,38,22,55,-0.49,0.19,8,38,22,54,-0.44,0.19,9,40,25,55,-0.38,0.19,9,44,29,56,-0.29,0.17,10,49,33,57,-0.36,0.15,12,46,31,54
JAPAN,JPN,1.05,0.18,6,84,78,87,0.93,0.17,6,83,75,84,1.23,0.19,6,86,83,92,0.86,0.16,6,82,74,83,1.18,0.17,6,85,81,91,1.23,0.16,7,86,83,92,1.21,0.15,7,84,80,91,1.32,0.15,9,90,83,92,1.21,0.15,10,85,79,92,1.31,0.15,10,86,82,92,1.37,0.15,10,90,84,91,1.57,0.15,10,92,86,93,1.57,0.16,10,92,86,94,1.61,0.15,10,92,89,94
"JERSEY, CHANNEL ISLANDS",JEY,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.22,0.37,1,85,73,94,1.21,0.40,1,85,70,95
