,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARGENTINA,ARG,-0.21,0.23,5,50,29,63,-0.18,0.18,6,53,39,62,-0.34,0.21,7,47,28,59,-0.51,0.17,7,37,29,50,-0.52,0.17,8,40,23,50,-0.45,0.16,10,40,26,50,-0.43,0.16,10,41,30,52,-0.40,0.15,12,41,30,53,-0.40,0.15,12,41,31,55,-0.47,0.15,13,40,27,50,-0.50,0.15,15,37,24,51,-0.41,0.16,15,42,29,55,-0.40,0.15,16,42,30,56,-0.49,0.14,16,39,27,51
ARMENIA,ARM,-0.47,0.56,1,36,5,67,-0.74,0.28,4,27,6,44,-0.65,0.25,5,30,8,51,-0.65,0.23,5,34,13,48,-0.55,0.18,6,36,19,49,-0.61,0.17,7,29,18,47,-0.63,0.16,8,32,19,45,-0.59,0.15,12,34,21,45,-0.66,0.15,12,29,17,41,-0.63,0.14,13,32,19,43,-0.56,0.15,13,33,23,48,-0.65,0.14,13,30,19,42,-0.60,0.14,13,33,21,45,-0.53,0.13,14,37,26,48
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.15,0.39,1,85,71,92,1.27,0.32,1,88,73,93,1.27,0.42,1,89,73,95,1.30,0.41,1,89,73,94,1.32,0.40,1,90,74,95,1.11,0.29,2,84,73,91,1.13,0.29,2,84,73,92,1.12,0.28,2,84,73,92,1.11,0.30,2,83,72,91
AUSTRALIA,AUS,1.89,0.23,5,94,91,98,1.77,0.19,5,93,92,95,1.96,0.23,5,94,92,98,1.75,0.16,6,92,91,94,1.94,0.17,6,94,92,98,2.10,0.16,6,97,92,98,1.97,0.16,6,96,93,99,1.99,0.17,7,96,92,99,2.04,0.18,7,96,93,99,2.07,0.17,7,96,93,99,2.08,0.15,8,96,94,99,2.04,0.15,9,95,93,99,2.08,0.16,10,96,93,100,2.00,0.15,10,96,93,98
AUSTRIA,AUT,1.93,0.23,5,94,91,99,2.07,0.19,5,95,93,100,1.95,0.23,5,94,92,98,2.09,0.18,5,95,92,99,2.10,0.20,5,97,93,99,2.15,0.18,6,97,92,99,1.96,0.18,6,95,93,99,1.99,0.19,7,95,92,99,2.10,0.19,7,96,93,99,1.92,0.19,7,95,92,98,1.76,0.18,8,93,91,95,1.63,0.19,8,92,86,94,1.44,0.17,9,90,84,93,1.35,0.16,9,89,82,91
AZERBAIJAN,AZE,-1.25,0.31,2,6,1,27,-1.12,0.19,5,8,2,24,-1.09,0.19,7,7,3,25,-1.05,0.15,7,11,2,28,-0.95,0.15,8,15,9,29,-1.11,0.16,9,11,5,19,-0.99,0.14,10,16,9,26,-0.99,0.15,12,15,8,26,-1.02,0.15,12,13,7,23,-1.04,0.14,12,13,6,22,-1.11,0.14,13,10,5,21,-1.18,0.13,13,10,3,18,-1.12,0.13,13,12,5,19,-1.07,0.13,13,13,5,22
"BAHAMAS, THE",BHS,1.20,0.47,2,85,67,94,1.35,0.46,2,87,72,95,1.39,0.46,2,90,74,95,1.45,0.39,2,91,80,95,1.40,0.35,2,91,77,94,1.40,0.35,2,92,78,95,1.33,0.29,2,90,79,93,1.38,0.35,2,91,78,94,1.37,0.36,2,91,74,94,1.38,0.35,2,91,75,95,1.37,0.27,3,89,79,94,1.36,0.25,3,89,80,93,1.36,0.25,3,89,80,93,1.34,0.23,3,88,80,93
BAHRAIN,BHR,0.17,0.30,3,63,43,77,0.10,0.22,3,62,45,67,0.37,0.30,3,67,57,81,0.77,0.19,4,79,69,83,0.45,0.23,5,71,58,78,0.53,0.21,6,72,61,79,0.47,0.20,6,69,59,75,0.24,0.21,6,64,56,73,0.25,0.21,6,64,56,73,0.25,0.21,6,64,56,74,0.24,0.19,8,66,58,72,0.25,0.19,8,64,56,72,0.24,0.18,8,64,56,72,0.39,0.18,8,68,61,73
BANGLADESH,BGD,-0.73,0.30,3,27,7,45,-0.44,0.21,4,39,26,56,-0.94,0.20,6,16,5,32,-1.18,0.16,6,5,0,24,-1.33,0.18,7,4,1,11,-1.49,0.19,9,3,0,10,-1.41,0.18,9,5,0,12,-1.42,0.16,11,4,1,10,-1.05,0.17,12,11,5,23,-1.02,0.16,12,14,5,25,-1.03,0.17,12,15,6,25,-1.02,0.17,13,15,5,26,-1.05,0.16,14,15,5,23,-0.87,0.15,14,21,12,30
BARBADOS,BRB,1.36,0.56,1,89,70,98,1.38,0.51,1,91,70,95,1.38,0.50,1,90,72,95,1.30,0.47,1,89,71,94,1.32,0.38,1,89,75,94,1.23,0.37,2,86,75,92,1.31,0.31,2,89,78,93,1.26,0.30,2,85,75,92,1.34,0.31,2,90,78,93,1.31,0.30,2,86,75,93,1.33,0.25,3,87,79,93,1.44,0.25,3,90,82,93,1.76,0.25,3,93,89,98,1.66,0.26,3,93,85,96
