,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARGENTINA,ARG,0.62,0.27,6,70,57,84,0.59,0.25,7,70,57,80,0.29,0.22,7,62,51,71,-0.94,0.20,8,19,11,28,-0.72,0.18,8,24,17,39,-0.69,0.18,9,24,16,39,-0.57,0.17,9,29,21,46,-0.66,0.18,9,25,18,42,-0.70,0.18,9,25,17,39,-0.74,0.18,9,23,16,38,-0.85,0.17,10,23,13,32,-0.76,0.17,10,24,16,35,-0.72,0.16,11,25,18,35,-0.96,0.17,11,19,10,28
ARMENIA,ARM,-0.35,0.39,3,38,18,62,-0.11,0.31,5,48,25,65,-0.13,0.28,6,45,27,62,0.01,0.23,7,53,41,63,0.18,0.19,7,57,49,66,0.13,0.19,8,58,48,66,0.08,0.18,9,55,48,63,0.28,0.17,11,59,55,67,0.27,0.17,11,59,54,68,0.31,0.17,11,60,54,68,0.28,0.16,11,60,54,70,0.30,0.15,11,60,53,70,0.26,0.15,11,58,53,70,0.33,0.16,12,60,54,72
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.73,0.33,1,74,61,87,0.85,0.25,1,75,63,88,0.85,0.32,1,75,61,91,0.86,0.37,1,77,59,91,0.88,0.39,1,78,58,92,1.31,0.34,2,87,74,100,1.37,0.36,2,88,76,100,1.35,0.36,2,90,76,100,1.42,0.35,2,91,77,100
AUSTRALIA,AUS,1.23,0.27,6,87,76,97,1.43,0.27,6,93,80,98,1.60,0.23,6,95,87,99,1.44,0.23,6,92,83,98,1.58,0.20,6,94,87,100,1.73,0.21,6,96,89,100,1.60,0.19,6,95,88,100,1.62,0.21,6,95,87,100,1.68,0.23,6,96,87,100,1.76,0.24,6,97,88,100,1.82,0.22,7,98,91,100,1.69,0.24,7,96,86,100,1.85,0.22,8,98,92,100,1.77,0.22,8,97,90,100
AUSTRIA,AUT,1.57,0.27,6,95,84,100,1.34,0.27,6,92,80,97,1.49,0.23,6,94,84,99,1.56,0.23,6,94,85,100,1.54,0.20,6,93,86,100,1.54,0.21,6,93,84,100,1.62,0.19,6,96,88,100,1.65,0.21,6,96,88,100,1.70,0.23,6,96,87,100,1.61,0.24,6,94,86,100,1.46,0.22,7,92,82,98,1.47,0.24,7,92,82,99,1.39,0.22,8,91,81,96,1.51,0.22,8,91,84,99
AZERBAIJAN,AZE,-1.10,0.32,4,15,5,27,-0.95,0.27,6,16,8,28,-0.91,0.25,8,17,10,30,-0.72,0.21,9,24,15,40,-0.60,0.17,9,28,19,44,-0.59,0.17,10,28,19,44,-0.55,0.17,11,31,22,46,-0.50,0.17,11,34,22,47,-0.44,0.17,11,36,24,51,-0.35,0.18,10,42,29,53,-0.30,0.16,11,43,32,52,-0.37,0.16,11,40,28,49,-0.37,0.16,11,38,29,50,-0.47,0.17,11,34,25,46
"BAHAMAS, THE",BHS,0.92,0.40,3,78,60,96,1.01,0.40,3,81,63,96,1.13,0.37,3,85,68,96,1.30,0.30,3,88,75,98,1.14,0.25,3,83,73,93,1.11,0.26,3,81,73,93,1.10,0.22,3,79,71,91,1.04,0.26,3,80,70,92,1.03,0.29,3,82,68,92,1.04,0.31,3,82,67,93,0.76,0.27,4,74,62,85,0.52,0.28,4,69,53,80,0.49,0.29,4,68,53,79,0.36,0.28,4,63,49,76
BAHRAIN,BHR,0.53,0.32,4,68,52,84,0.66,0.33,4,72,55,87,0.69,0.31,4,74,58,87,0.87,0.22,6,76,66,86,0.62,0.20,5,69,62,78,0.73,0.20,6,74,65,80,0.69,0.18,6,71,63,78,0.70,0.21,6,71,63,80,0.79,0.21,6,73,65,86,0.72,0.22,6,74,63,82,0.71,0.20,7,74,63,80,0.73,0.21,7,75,64,82,0.74,0.20,7,76,65,82,0.69,0.23,7,74,60,80
BANGLADESH,BGD,-1.06,0.32,4,16,6,28,-0.89,0.30,5,18,8,34,-0.87,0.24,7,19,11,31,-1.01,0.21,8,18,8,26,-0.92,0.18,8,18,12,27,-1.10,0.18,9,13,7,21,-1.03,0.17,9,17,9,24,-0.96,0.18,10,18,10,26,-0.91,0.18,10,18,11,29,-0.89,0.17,10,17,12,30,-0.85,0.16,10,23,13,31,-0.83,0.16,10,22,13,32,-0.80,0.16,11,23,15,33,-0.96,0.17,11,20,10,27
BARBADOS,BRB,1.28,0.42,2,89,69,99,1.29,0.42,2,91,70,99,1.26,0.38,2,89,71,99,1.06,0.35,2,82,66,95,1.09,0.28,2,82,69,93,1.04,0.28,3,79,69,91,1.16,0.24,3,84,72,93,0.85,0.27,3,76,64,88,0.90,0.30,3,78,64,91,0.85,0.31,3,76,62,88,0.53,0.28,4,69,54,80,0.45,0.29,4,67,52,79,0.60,0.29,4,72,55,82,0.42,0.29,4,66,52,77
BELARUS,BLR,-1.09,0.39,3,16,4,31,-1.85,0.31,5,4,1,9,-1.75,0.28,6,5,1,10,-1.58,0.23,7,5,2,12,-1.35,0.19,7,8,3,17,-1.23,0.19,7,10,5,18,-1.48,0.19,7,6,3,12,-1.64,0.19,8,3,3,9,-1.43,0.19,8,6,3,14,-1.25,0.19,8,9,4,17,-1.15,0.18,8,11,6,22,-1.16,0.17,8,11,6,21,-1.21,0.17,8,9,6,21,-1.10,0.17,10,12,8,23
BELGIUM,BEL,1.19,0.27,6,86,75,97,1.02,0.27,6,84,69,93,1.18,0.23,6,87,78,94,1.28,0.23,6,87,77,95,1.29,0.20,6,88,79,94,1.37,0.21,6,88,79,96,1.25,0.19,6,87,77,94,1.32,0.21,6,89,79,96,1.42,0.23,6,91,83,97,1.39,0.24,6,91,80,98,1.32,0.22,7,87,79,96,1.29,0.24,7,86,79,95,1.24,0.22,8,87,78,94,1.22,0.22,8,87,77,94
BELIZE,BLZ,0.16,0.42,2,57,28,77,0.11,0.36,3,55,29,74,-0.03,0.32,3,53,28,67,-0.05,0.31,3,52,33,65,0.05,0.25,3,55,40,65,-0.19,0.25,4,48,28,62,-0.05,0.22,4,53,39,61,-0.39,0.23,5,40,22,55,-0.45,0.24,5,35,21,52,-0.47,0.22,5,36,20,52,-0.47,0.23,5,35,24,50,-0.45,0.22,5,36,23,50,-0.54,0.22,6,33,22,47,-0.48,0.24,4,33,21,50
BENIN,BEN,-0.20,0.42,2,44,21,66,-0.17,0.30,4,45,24,62,-0.21,0.28,4,41,24,61,-0.44,0.25,5,37,20,53,-0.50,0.21,5,33,20,49,-0.48,0.20,6,34,20,49,-0.57,0.18,7,28,20,46,-0.40,0.18,9,40,24,51,-0.42,0.18,9,37,25,51,-0.49,0.17,9,35,23,47,-0.33,0.17,9,40,30,51,-0.32,0.17,9,42,30,52,-0.33,0.16,9,40,31,51,-0.39,0.18,9,37,27,50
BERMUDA,BMU,1.48,0.48,1,93,73,100,1.50,0.49,1,95,74,100,1.48,0.45,1,93,77,100,1.42,0.38,1,91,75,100,1.39,0.29,1,91,77,100,1.40,0.33,1,89,78,100,1.35,0.25,1,90,77,99,1.34,0.32,1,91,73,100,1.36,0.37,1,90,72,100,1.38,0.39,1,90,74,100,1.38,0.44,1,90,72,100,1.37,0.48,1,89,70,100,1.35,0.49,1,90,71,100,1.31,0.52,1,89,67,100
BHUTAN,BTN,-0.44,0.48,1,32,12,63,-0.43,0.40,2,32,14,57,-0.37,0.35,3,35,16,58,-0.47,0.32,3,36,19,57,-0.01,0.25,3,53,40,65,-0.81,0.25,4,21,11,40,-0.43,0.21,5,39,23,53,-0.60,0.23,5,28,17,46,-0.73,0.23,4,24,14,41,-0.83,0.21,5,20,12,35,-1.10,0.18,7,13,6,24,-1.19,0.18,7,9,6,20,-1.18,0.17,7,11,7,22,-1.12,0.19,7,12,7,23
BOLIVIA,BOL,0.22,0.32,4,59,39,75,0.25,0.30,5,58,39,75,0.09,0.24,6,56,37,67,-0.05,0.21,7,51,40,62,-0.06,0.18,7,52,41,61,-0.18,0.18,8,49,34,58,-0.63,0.17,8,26,19,44,-0.85,0.18,9,21,13,31,-0.96,0.19,9,17,9,27,-0.86,0.18,9,19,13,32,-0.86,0.17,9,22,12,32,-0.79,0.17,9,23,14,35,-0.74,0.17,10,24,16,35,-0.83,0.18,10,22,12,32
BOSNIA AND HERZEGOVINA,BIH,-0.70,0.34,3,25,11,47,-0.82,0.28,5,21,11,35,-0.48,0.25,6,31,18,52,-0.56,0.22,7,31,20,45,-0.48,0.19,7,34,20,48,-0.19,0.18,9,47,33,58,-0.49,0.17,9,35,23,48,-0.42,0.18,9,38,23,51,-0.26,0.18,9,45,29,54,-0.16,0.18,9,50,36,55,-0.10,0.17,9,50,39,57,-0.10,0.17,9,50,39,56,-0.04,0.17,8,53,42,58,-0.06,0.17,11,51,40,57
BOTSWANA,BWA,0.76,0.32,4,75,59,89,0.70,0.27,6,74,59,85,0.64,0.24,6,72,60,82,0.77,0.20,8,75,64,83,0.79,0.18,8,75,66,81,0.66,0.17,9,72,65,79,0.67,0.17,9,70,63,77,0.50,0.17,10,66,58,73,0.44,0.17,10,65,57,72,0.48,0.17,10,65,57,74,0.48,0.16,10,66,57,74,0.46,0.16,10,67,57,75,0.50,0.16,10,69,57,76,0.69,0.18,10,74,65,80
BRAZIL,BRA,0.41,0.27,6,65,50,77,0.40,0.25,7,66,53,77,0.37,0.22,7,64,54,75,0.29,0.20,8,61,52,69,0.31,0.18,8,63,54,68,0.05,0.18,9,57,46,65,0.04,0.17,9,54,48,61,-0.03,0.18,10,54,43,58,-0.02,0.18,10,53,42,59,0.07,0.18,10,54,47,62,0.11,0.17,10,55,48,64,0.16,0.17,10,55,49,66,0.18,0.16,11,56,51,66,0.09,0.17,11,55,46,63
BRUNEI DARUSSALAM,BRN,1.53,0.45,2,95,76,100,0.87,0.46,2,79,55,95,0.94,0.43,2,81,60,95,1.06,0.32,2,82,68,94,1.00,0.26,2,79,67,91,1.19,0.28,2,84,73,95,0.93,0.23,2,76,66,88,0.94,0.28,2,78,65,91,0.99,0.32,2,81,66,92,0.81,0.32,3,75,60,88,1.10,0.28,4,83,72,94,1.12,0.30,4,83,71,94,1.18,0.31,4,85,75,96,1.16,0.31,4,85,72,95
