,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
CHILE,CHL,1.64,0.27,6,97,86,100,1.40,0.25,7,92,80,98,1.41,0.22,7,91,82,96,1.44,0.20,8,91,83,98,1.47,0.18,8,91,85,98,1.43,0.18,9,90,81,96,1.43,0.17,9,91,83,99,1.46,0.18,9,92,85,98,1.48,0.18,9,92,86,97,1.54,0.18,9,93,86,98,1.48,0.18,9,93,85,97,1.46,0.18,9,92,84,98,1.48,0.17,10,92,85,96,1.54,0.18,10,93,87,98
CHINA,CHN,-0.14,0.27,6,48,26,62,-0.26,0.25,7,37,24,56,-0.33,0.22,7,36,24,55,-0.53,0.20,8,33,20,45,-0.34,0.18,8,43,27,52,-0.28,0.18,9,45,29,56,-0.13,0.17,9,50,40,57,-0.18,0.18,10,49,35,55,-0.15,0.18,10,51,35,57,-0.13,0.18,10,51,38,56,-0.20,0.17,10,46,35,54,-0.22,0.17,10,44,35,53,-0.21,0.16,11,44,35,54,-0.26,0.17,11,44,31,53
COLOMBIA,COL,0.08,0.27,6,56,36,68,0.05,0.25,7,53,35,67,0.14,0.22,7,56,40,67,0.02,0.20,8,55,42,63,-0.08,0.18,8,50,40,60,-0.02,0.18,9,55,44,64,0.06,0.17,9,55,48,62,0.13,0.18,10,56,50,64,0.24,0.18,10,59,53,68,0.26,0.18,10,59,54,67,0.15,0.17,10,56,49,65,0.26,0.17,10,58,52,70,0.37,0.16,11,62,55,74,0.39,0.17,11,64,55,73
COMOROS,COM,-1.16,0.48,1,14,2,36,-1.26,0.33,3,11,5,22,-1.29,0.30,3,10,5,20,-1.16,0.30,3,13,4,26,-1.44,0.25,3,7,3,17,-1.49,0.23,4,6,3,13,-1.56,0.21,4,4,2,12,-1.48,0.23,4,5,3,15,-1.44,0.23,4,5,3,16,-1.50,0.21,5,4,3,13,-1.55,0.22,5,5,3,10,-1.42,0.21,5,6,3,14,-1.36,0.21,5,7,3,16,-1.42,0.24,5,8,3,16
"CONGO, DEM. REP.",ZAR,-1.83,0.40,3,3,0,13,-2.41,0.30,5,0,0,4,-2.11,0.29,4,2,0,7,-1.51,0.24,5,6,3,14,-1.50,0.20,5,5,3,13,-1.59,0.18,7,5,2,9,-1.62,0.17,7,3,2,9,-1.32,0.20,6,9,3,17,-1.26,0.19,6,9,5,17,-1.30,0.18,7,8,4,16,-1.53,0.17,9,5,3,8,-1.58,0.16,9,4,3,8,-1.52,0.16,9,5,3,9,-1.51,0.18,9,6,3,11
"CONGO, REP.",COG,-1.28,0.40,3,10,2,25,-1.22,0.30,5,11,6,22,-1.25,0.27,5,11,7,20,-1.06,0.25,5,15,7,27,-1.10,0.22,5,15,7,21,-0.97,0.21,6,16,9,28,-1.30,0.17,8,10,4,17,-1.20,0.18,8,11,4,19,-1.19,0.18,8,12,5,19,-1.26,0.18,8,8,4,16,-1.28,0.17,9,6,5,17,-1.27,0.16,9,8,5,18,-1.26,0.16,9,9,5,18,-1.38,0.18,9,8,3,14
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.36,0.92,1,63,13,99,0.34,0.91,1,63,14,98,0.26,0.56,1,62,25,85,0.21,0.67,1,62,18,87,0.59,0.85,1,67,22,100,0.59,0.75,1,68,26,99,0.09,0.62,1,56,17,85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.94,0.53,1,20,3,51,-1.24,0.48,1,8,3,36,-1.17,0.51,1,11,2,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,0.68,0.29,5,72,58,85,0.83,0.30,5,77,62,91,0.61,0.24,6,71,59,82,0.39,0.21,7,64,57,74,0.60,0.18,7,68,62,76,0.53,0.18,8,68,62,77,0.58,0.17,8,67,61,75,0.36,0.19,8,63,55,70,0.40,0.19,8,64,56,72,0.45,0.19,8,64,55,74,0.46,0.19,7,65,56,74,0.50,0.19,7,69,56,76,0.45,0.19,7,66,56,76,0.57,0.20,8,70,59,77
C?TE D'IVOIRE,CIV,-0.48,0.32,4,30,18,54,-0.26,0.27,6,38,23,57,-0.54,0.24,6,29,16,44,-0.45,0.21,7,37,21,50,-0.82,0.18,7,20,14,31,-0.96,0.18,8,17,10,25,-0.91,0.17,7,19,12,26,-0.85,0.18,8,20,13,31,-0.84,0.18,8,21,13,30,-0.89,0.17,10,18,12,30,-0.95,0.16,10,19,10,27,-0.91,0.16,10,20,10,28,-0.86,0.16,10,22,12,32,-0.77,0.17,11,24,15,33
CROATIA,HRV,-0.16,0.32,4,47,25,64,-0.10,0.27,6,49,27,63,-0.04,0.25,7,53,33,64,0.30,0.20,9,62,52,69,0.48,0.17,9,66,58,74,0.54,0.17,10,68,63,76,0.49,0.17,10,65,59,72,0.38,0.17,10,64,55,70,0.46,0.17,10,66,57,72,0.49,0.18,10,66,57,74,0.55,0.17,10,70,60,75,0.55,0.17,10,70,59,76,0.52,0.16,11,70,58,76,0.44,0.17,12,67,56,74
CUBA,CUB,-1.23,0.32,4,11,4,24,-1.40,0.33,4,7,4,19,-1.28,0.31,4,11,5,20,-1.32,0.23,5,8,4,19,-1.49,0.20,5,6,3,13,-1.61,0.20,6,4,2,9,-1.43,0.19,6,7,3,13,-1.47,0.21,6,6,3,14,-1.59,0.22,6,3,3,10,-1.50,0.22,6,4,3,14,-1.63,0.21,6,4,3,6,-1.69,0.21,6,3,3,7,-1.65,0.21,6,3,2,8,-1.60,0.22,7,4,2,10
CYPRUS,CYP,1.25,0.32,4,89,74,97,1.18,0.33,4,87,70,97,1.11,0.31,4,84,70,95,1.22,0.26,4,85,75,95,1.19,0.22,4,86,75,93,1.25,0.22,5,87,79,94,1.27,0.20,5,88,77,94,1.28,0.23,5,88,77,96,1.33,0.24,5,88,79,97,1.39,0.26,5,91,79,98,1.37,0.24,6,89,80,97,1.43,0.25,6,91,82,99,1.24,0.25,6,86,76,95,1.12,0.26,6,84,74,94
CZECH REPUBLIC,CZE,1.02,0.27,7,83,69,92,0.92,0.23,8,80,68,91,0.73,0.20,9,75,64,82,1.19,0.19,10,85,76,92,1.18,0.17,10,85,77,91,1.08,0.17,10,80,75,88,1.12,0.17,9,83,73,90,1.11,0.18,10,84,73,91,1.03,0.17,11,82,72,87,1.16,0.17,11,85,78,92,1.33,0.19,9,88,80,95,1.30,0.20,9,86,80,94,1.21,0.19,10,85,78,92,1.06,0.20,10,81,75,90
DENMARK,DNK,1.79,0.27,6,98,90,100,1.75,0.27,6,97,91,100,1.76,0.23,6,96,90,100,1.75,0.23,6,97,89,100,1.76,0.20,6,98,91,100,1.78,0.21,6,98,90,100,1.67,0.19,6,99,90,100,1.81,0.21,6,99,92,100,1.92,0.23,6,100,93,100,1.89,0.24,6,99,92,100,1.90,0.22,7,100,94,100,1.88,0.24,7,99,92,100,1.91,0.23,7,99,92,100,1.79,0.22,8,98,91,100
DJIBOUTI,DJI,-0.95,0.42,2,19,5,41,-1.06,0.30,4,14,7,27,-0.73,0.28,4,22,13,39,-0.57,0.28,4,31,17,50,-0.77,0.24,4,21,13,40,-0.66,0.23,5,25,15,44,-0.77,0.21,5,24,14,39,-0.74,0.22,5,23,15,41,-0.69,0.22,5,26,16,42,-0.67,0.21,5,28,16,43,-0.61,0.20,6,30,19,44,-0.63,0.20,6,28,19,42,-0.53,0.20,6,33,22,46,-0.44,0.21,6,35,24,50
DOMINICA,DMA,1.00,0.48,1,82,59,98,0.38,0.40,2,64,37,84,0.44,0.36,2,66,43,82,0.68,0.33,2,71,57,85,0.79,0.27,2,75,64,86,0.59,0.26,3,70,60,79,0.73,0.23,3,72,62,82,0.93,0.28,2,77,65,91,0.80,0.30,2,75,61,87,0.55,0.27,3,67,55,80,0.51,0.28,3,67,54,79,0.43,0.28,3,66,52,77,0.24,0.27,3,57,46,75,0.28,0.28,3,59,46,75
DOMINICAN REPUBLIC,DOM,-0.22,0.32,4,42,23,62,-0.17,0.30,5,46,24,62,-0.14,0.27,5,44,27,62,-0.23,0.21,7,44,31,57,-0.34,0.18,7,43,26,52,-0.41,0.18,8,39,23,50,-0.38,0.17,8,43,25,53,-0.23,0.18,9,46,31,55,-0.23,0.19,9,47,31,56,-0.19,0.18,9,48,35,55,-0.19,0.17,9,46,35,54,-0.15,0.17,9,48,37,55,-0.19,0.17,10,47,35,55,-0.14,0.19,9,47,35,56
ECUADOR,ECU,-0.18,0.32,4,45,24,63,-0.09,0.30,5,50,26,65,-0.52,0.24,6,30,16,47,-0.67,0.21,7,25,17,41,-0.67,0.18,7,25,18,40,-0.70,0.18,8,23,16,39,-0.81,0.17,8,23,15,32,-1.07,0.19,8,16,7,22,-1.11,0.19,8,14,6,22,-1.13,0.19,8,14,5,21,-1.28,0.17,9,7,5,18,-1.16,0.17,9,11,6,21,-1.02,0.17,9,16,8,25,-1.04,0.18,10,15,9,25
"EGYPT, ARAB REP.",EGY,0.01,0.29,5,52,30,66,-0.34,0.25,7,36,22,54,-0.35,0.22,7,36,22,54,-0.50,0.20,8,35,20,47,-0.62,0.18,8,27,18,43,-0.49,0.17,9,33,21,47,-0.41,0.17,9,40,25,50,-0.43,0.17,10,37,23,51,-0.28,0.17,10,43,30,54,-0.18,0.17,10,49,36,55,-0.19,0.16,10,47,36,54,-0.16,0.16,10,47,37,54,-0.33,0.16,10,42,32,51,-0.49,0.16,12,33,25,45
EL SALVADOR,SLV,0.01,0.29,5,52,30,66,0.33,0.30,5,62,46,77,0.18,0.24,6,57,40,69,0.02,0.21,7,54,41,63,-0.12,0.18,7,50,40,58,0.10,0.18,8,58,47,65,-0.05,0.17,8,53,44,60,0.07,0.19,8,55,45,63,0.20,0.19,8,58,51,67,0.22,0.19,8,57,52,67,0.35,0.18,8,62,54,72,0.38,0.18,8,63,54,74,0.49,0.17,9,68,56,76,0.32,0.18,10,60,53,72
EQUATORIAL GUINEA,GNQ,-1.57,0.36,2,6,1,19,-1.66,0.27,5,6,3,12,-1.71,0.25,5,6,2,10,-1.49,0.25,5,6,3,15,-1.40,0.22,5,8,3,17,-1.45,0.20,6,6,3,13,-1.38,0.20,5,7,3,16,-1.33,0.21,5,8,3,17,-1.32,0.21,5,8,3,17,-1.32,0.21,5,7,3,16,-1.28,0.21,5,7,4,20,-1.38,0.20,6,6,3,15,-1.34,0.20,6,8,3,17,-1.42,0.22,5,7,3,15
ERITREA,ERI,-1.16,0.48,1,14,2,36,-0.57,0.33,3,26,14,52,-0.94,0.30,3,16,8,32,-1.11,0.26,4,14,6,25,-1.62,0.22,4,3,2,10,-1.67,0.21,5,3,2,8,-1.80,0.20,5,2,2,6,-2.08,0.20,6,2,0,3,-2.12,0.20,5,2,0,3,-2.17,0.18,7,1,0,3,-2.26,0.18,7,1,0,3,-2.25,0.18,7,1,0,3,-2.22,0.17,7,1,0,2,-2.24,0.20,6,1,0,2
ESTONIA,EST,1.37,0.32,4,91,76,98,1.27,0.27,6,91,77,97,1.30,0.22,8,90,80,95,1.39,0.19,10,89,83,96,1.32,0.17,10,89,80,94,1.33,0.17,10,88,80,94,1.34,0.16,10,89,79,95,1.30,0.18,10,88,80,94,1.37,0.17,11,91,84,95,1.43,0.17,11,92,85,96,1.41,0.18,10,91,83,96,1.40,0.18,10,90,82,95,1.39,0.17,11,91,83,95,1.40,0.18,11,90,83,96
ETHIOPIA,ETH,-1.34,0.32,4,9,3,23,-1.18,0.27,6,13,7,22,-1.16,0.24,6,13,7,20,-1.24,0.21,7,11,5,20,-1.18,0.18,8,13,6,19,-0.96,0.17,9,16,10,24,-1.11,0.17,9,14,8,21,-0.97,0.17,10,17,10,24,-0.91,0.17,10,18,12,27,-0.84,0.17,10,20,15,32,-0.92,0.16,10,21,10,27,-0.85,0.16,10,22,13,30,-0.99,0.16,11,18,9,25,-1.07,0.17,11,14,9,24
FIJI,FJI,-0.01,0.42,2,51,24,73,-0.24,0.36,3,39,20,63,-0.57,0.32,3,27,14,53,0.02,0.31,3,54,35,67,-0.32,0.25,3,44,21,56,-0.64,0.26,3,27,15,47,-0.41,0.23,3,41,23,54,-0.44,0.26,3,37,20,55,-0.46,0.27,3,34,18,54,-0.69,0.27,3,27,14,46,-0.95,0.25,4,18,6,33,-0.67,0.25,4,27,14,43,-0.50,0.24,4,35,22,51,-0.60,0.26,4,30,16,46
FINLAND,FIN,1.48,0.27,6,93,83,99,1.79,0.27,6,98,92,100,1.81,0.23,6,97,91,100,1.85,0.23,6,99,92,100,1.86,0.20,6,100,92,100,1.81,0.21,6,100,91,100,1.69,0.19,6,99,90,100,1.63,0.21,6,95,87,100,1.55,0.23,6,93,86,100,1.62,0.24,6,95,86,100,1.83,0.22,7,99,92,100,1.89,0.24,7,100,92,100,1.83,0.23,7,98,92,100,1.82,0.22,8,98,91,100
FRANCE,FRA,0.93,0.27,6,79,66,91,0.81,0.27,6,76,64,89,0.91,0.23,6,80,68,90,0.99,0.23,6,80,69,89,1.22,0.20,6,86,76,93,1.23,0.21,6,86,79,93,1.22,0.19,6,86,76,92,1.23,0.21,7,87,77,94,1.28,0.22,7,87,79,95,1.28,0.23,7,87,79,96,1.21,0.22,7,86,75,94,1.31,0.24,7,87,79,97,1.15,0.22,8,84,76,92,1.11,0.22,8,83,75,91
FRENCH GUIANA,GUF,1.00,0.48,1,82,59,98,1.01,0.49,1,83,57,98,0.99,0.45,1,82,61,95,0.92,0.38,1,78,61,93,0.90,0.29,1,77,65,89,0.49,0.33,1,67,53,79,0.85,0.25,1,75,63,88,0.85,0.32,1,75,61,91,0.86,0.37,1,77,59,91,0.88,0.39,1,78,58,92,1.20,0.34,2,85,72,97,1.25,0.36,2,85,74,99,1.23,0.36,2,86,74,98,1.28,0.35,2,87,74,99
GABON,GAB,0.06,0.32,4,54,30,69,0.14,0.27,6,55,36,69,-0.14,0.24,6,44,29,61,-0.19,0.23,6,46,31,60,-0.16,0.20,6,49,34,57,-0.46,0.19,7,35,21,49,-0.23,0.18,7,48,32,55,-0.48,0.19,8,34,21,50,-0.56,0.19,8,30,19,46,-0.65,0.19,8,28,17,43,-0.59,0.18,8,31,21,43,-0.57,0.18,8,33,21,43,-0.56,0.18,8,32,22,43,-0.51,0.21,8,33,22,46
"GAMBIA, THE",GMB,-0.95,0.40,3,20,5,39,-0.40,0.30,5,34,18,54,-0.28,0.27,5,38,22,57,-0.55,0.25,5,32,19,49,-0.46,0.21,6,38,20,50,-0.42,0.20,7,38,22,51,-0.52,0.19,7,32,22,48,-0.38,0.19,8,41,24,52,-0.36,0.19,8,39,26,53,-0.38,0.19,8,40,27,52,-0.32,0.19,8,41,28,53,-0.38,0.19,8,39,27,50,-0.27,0.19,8,43,32,54,-0.23,0.20,8,44,31,55
GEORGIA,GEO,-0.99,0.39,3,18,5,38,-0.48,0.31,4,29,16,53,-0.39,0.28,5,34,19,55,-0.81,0.25,6,21,12,39,-0.66,0.20,6,25,17,43,-0.46,0.20,8,36,21,49,-0.51,0.19,8,33,22,48,-0.12,0.18,9,51,38,58,0.28,0.18,10,61,54,68,0.48,0.17,10,65,57,74,0.52,0.16,10,68,59,74,0.59,0.16,10,70,61,76,0.65,0.16,10,74,63,78,0.68,0.16,12,73,65,78
GERMANY,DEU,1.38,0.27,6,91,79,98,1.22,0.27,6,88,76,96,1.47,0.23,6,92,83,99,1.54,0.23,6,93,84,100,1.51,0.20,6,92,85,99,1.49,0.21,6,91,81,100,1.49,0.19,6,92,85,100,1.57,0.21,7,94,86,100,1.62,0.22,7,95,86,100,1.49,0.23,7,92,82,98,1.53,0.22,7,94,84,100,1.58,0.24,7,94,84,100,1.56,0.22,8,93,85,100,1.53,0.22,8,92,86,99
GHANA,GHA,-0.38,0.32,4,36,21,57,-0.25,0.27,6,38,24,57,-0.10,0.24,6,49,30,62,-0.47,0.21,7,35,20,50,-0.28,0.18,8,45,29,54,-0.35,0.17,9,41,28,53,-0.11,0.17,9,52,43,57,-0.08,0.18,9,52,41,58,-0.06,0.17,9,52,41,58,-0.04,0.17,10,53,44,58,0.09,0.16,10,54,47,62,0.12,0.16,10,54,48,64,0.13,0.16,11,55,49,63,0.12,0.17,11,56,46,65
GREECE,GRC,0.65,0.27,6,71,58,84,0.66,0.27,6,71,57,85,0.80,0.23,6,78,65,87,0.97,0.23,6,80,69,88,1.00,0.20,6,79,71,89,0.86,0.21,6,77,67,85,0.93,0.19,6,76,69,86,0.84,0.21,7,74,66,85,0.90,0.22,7,78,68,86,0.88,0.23,7,79,67,87,0.82,0.22,7,75,65,85,0.64,0.24,7,74,58,82,0.51,0.23,7,70,55,78,0.50,0.22,8,68,56,77
GREENLAND,GRL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.34,0.48,1,88,70,100,1.36,0.48,1,88,70,100,1.34,0.48,1,89,71,100,1.38,0.42,1,90,73,100
GRENADA,GRD,0.52,0.48,1,68,40,90,0.40,0.40,2,65,38,84,0.42,0.36,2,65,42,82,0.38,0.33,2,64,47,78,0.38,0.27,2,65,52,75,0.18,0.26,3,61,46,70,0.33,0.23,3,62,53,71,0.45,0.26,3,65,55,77,0.47,0.30,2,66,54,80,0.44,0.30,2,64,53,79,0.27,0.28,3,59,47,74,0.33,0.27,3,61,49,76,0.26,0.27,3,58,47,75,0.36,0.33,2,62,46,77
GUAM,GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.68,0.33,1,73,59,85,0.61,0.25,1,68,58,78,0.60,0.32,1,70,55,84,0.61,0.37,1,69,54,86,0.62,0.39,1,71,54,87,0.63,0.44,1,72,51,88,0.63,0.48,1,73,47,90,0.62,0.49,1,73,47,91,0.59,0.52,1,72,43,91
GUATEMALA,GTM,-0.21,0.29,5,43,25,60,0.09,0.30,5,54,34,69,-0.11,0.24,6,49,30,61,-0.16,0.21,7,47,34,60,-0.34,0.18,7,42,26,52,-0.19,0.18,8,48,33,58,-0.39,0.17,8,42,25,52,-0.20,0.18,9,48,33,55,-0.20,0.19,9,49,31,57,-0.16,0.18,9,51,36,55,-0.12,0.17,9,49,38,57,-0.13,0.17,9,49,37,55,-0.11,0.17,10,50,38,56,-0.18,0.18,10,46,34,56
GUINEA,GIN,-0.71,0.40,3,24,8,50,-0.51,0.30,5,27,16,52,-0.60,0.27,5,26,14,43,-1.01,0.23,6,18,7,27,-0.98,0.20,6,17,10,26,-0.94,0.19,7,17,10,28,-1.06,0.18,7,16,9,24,-1.20,0.18,8,10,4,19,-1.22,0.18,8,10,5,17,-1.20,0.18,8,11,5,17,-1.13,0.17,8,12,6,24,-1.08,0.17,8,14,7,23,-1.00,0.17,8,17,8,26,-1.02,0.18,10,16,9,26
GUINEA-BISSAU,GNB,-0.82,0.45,2,22,6,49,-1.33,0.30,5,9,5,20,-1.24,0.27,5,12,7,20,-1.02,0.25,5,17,7,29,-0.86,0.22,5,19,12,33,-1.08,0.21,6,14,7,22,-1.12,0.19,6,13,7,23,-0.97,0.21,6,17,9,27,-1.12,0.21,6,14,5,22,-1.20,0.20,6,10,4,19,-1.18,0.20,6,10,6,22,-1.14,0.20,6,12,6,23,-1.12,0.21,6,12,7,24,-1.24,0.23,6,11,3,21
GUYANA,GUY,-0.19,0.40,3,45,21,66,-0.01,0.35,4,52,26,69,-0.18,0.31,4,41,23,62,-0.41,0.27,4,38,20,57,-0.36,0.23,4,41,21,54,-0.38,0.23,5,40,22,55,-0.51,0.20,6,33,21,49,-0.60,0.20,7,28,19,45,-0.62,0.21,7,28,17,44,-0.50,0.22,6,34,19,51,-0.60,0.21,7,30,20,44,-0.58,0.21,7,31,19,44,-0.66,0.21,7,28,17,42,-0.63,0.22,7,28,18,43
HAITI,HTI,-1.05,0.40,3,17,4,35,-0.88,0.35,4,18,7,36,-0.96,0.31,4,15,7,33,-1.07,0.23,6,15,7,25,-1.05,0.20,6,16,8,23,-1.34,0.20,6,8,3,16,-1.23,0.19,6,11,5,19,-0.85,0.20,6,20,12,32,-0.81,0.20,6,22,13,33,-0.76,0.19,7,23,15,38,-0.92,0.18,8,20,9,28,-1.01,0.18,8,18,8,26,-1.04,0.17,9,15,8,24,-0.95,0.19,9,21,10,28
HONDURAS,HND,-0.58,0.29,5,26,16,49,-0.09,0.30,5,50,26,65,-0.30,0.24,6,37,23,56,-0.41,0.21,7,39,21,51,-0.47,0.18,7,35,21,48,-0.33,0.18,8,43,28,54,-0.55,0.17,8,30,21,46,-0.47,0.19,8,35,22,50,-0.28,0.19,8,43,29,54,-0.30,0.19,8,46,30,54,-0.26,0.17,9,44,33,54,-0.21,0.17,9,45,35,54,-0.12,0.17,9,49,38,56,-0.20,0.19,9,45,32,56
"HONG KONG SAR, CHINA",HKG,1.91,0.27,6,99,92,100,1.95,0.27,6,99,95,100,1.85,0.23,6,99,91,100,1.73,0.23,6,96,89,100,1.94,0.20,6,100,94,100,1.99,0.21,6,100,94,100,1.85,0.19,6,100,93,100,1.95,0.21,7,100,94,100,2.00,0.22,7,100,95,100,1.98,0.23,7,100,94,100,1.85,0.22,7,100,93,100,1.91,0.24,7,100,93,100,1.80,0.22,8,97,91,100,1.94,0.22,8,100,94,100
HUNGARY,HUN,0.88,0.27,7,77,65,90,1.01,0.23,8,82,71,92,1.07,0.20,9,83,76,91,1.31,0.19,10,88,80,95,1.12,0.17,10,82,75,91,1.18,0.17,10,84,79,91,1.11,0.16,10,82,73,90,1.21,0.17,11,86,78,92,1.19,0.17,11,86,78,91,1.19,0.17,11,86,79,92,1.08,0.16,11,82,74,88,1.02,0.18,10,81,75,87,1.03,0.17,10,81,76,87,0.97,0.18,11,79,72,87
ICELAND,ISL,1.06,0.32,5,84,68,96,1.27,0.30,5,90,76,97,1.56,0.26,5,94,85,99,1.51,0.25,5,92,83,100,1.64,0.22,5,96,87,100,1.64,0.24,5,95,87,100,1.61,0.20,5,95,88,100,1.55,0.21,6,94,85,100,1.51,0.23,6,93,86,99,1.33,0.24,6,88,79,96,1.00,0.25,5,80,70,91,0.88,0.25,6,78,68,86,1.01,0.25,6,81,71,91,1.06,0.24,7,81,72,91
INDIA,IND,-0.44,0.27,6,32,21,53,-0.41,0.25,7,33,21,53,-0.16,0.22,7,43,30,58,-0.38,0.20,8,40,25,51,-0.36,0.18,8,41,26,51,-0.40,0.18,9,39,24,50,-0.24,0.17,9,47,32,54,-0.23,0.18,10,46,32,55,-0.27,0.18,10,44,30,54,-0.36,0.18,10,41,29,53,-0.30,0.17,10,43,31,53,-0.37,0.17,10,39,28,50,-0.33,0.16,11,40,31,51,-0.47,0.17,11,34,25,46
INDONESIA,IDN,0.19,0.27,6,57,40,70,-0.26,0.25,7,37,24,56,-0.18,0.22,8,42,29,58,-0.64,0.20,9,27,19,41,-0.78,0.17,9,21,16,33,-0.67,0.17,10,25,17,41,-0.54,0.17,10,31,22,46,-0.34,0.17,11,43,27,53,-0.32,0.17,11,42,29,53,-0.32,0.18,10,43,30,54,-0.33,0.17,10,40,30,51,-0.39,0.17,10,38,27,49,-0.33,0.16,11,41,31,51,-0.28,0.17,11,43,31,53
"IRAN, ISLAMIC REP.",IRN,-1.60,0.32,4,5,1,16,-1.73,0.33,4,5,1,13,-1.71,0.31,4,6,1,13,-1.32,0.22,6,8,4,19,-1.23,0.19,6,11,4,18,-1.26,0.19,7,9,5,17,-1.28,0.18,7,11,4,18,-1.49,0.19,8,4,3,12,-1.59,0.20,7,4,3,9,-1.64,0.20,7,3,3,8,-1.73,0.19,7,3,2,6,-1.70,0.21,7,3,3,7,-1.51,0.19,8,6,3,10,-1.43,0.21,8,7,3,14
IRAQ,IRQ,-2.02,0.32,4,1,0,7,-2.17,0.33,4,1,0,7,-2.15,0.31,4,1,0,7,-1.99,0.24,4,1,0,5,-1.43,0.20,4,7,3,15,-1.65,0.22,4,3,2,9,-1.51,0.19,4,5,2,12,-1.40,0.23,4,7,3,16,-1.32,0.24,4,7,3,17,-1.15,0.24,4,13,4,23,-1.01,0.22,5,17,6,27,-1.05,0.19,6,16,7,25,-1.09,0.20,6,13,7,24,-1.27,0.21,7,10,4,21
IRELAND,IRL,1.57,0.27,6,96,84,100,1.69,0.27,6,97,89,100,1.84,0.23,6,97,91,100,1.76,0.23,6,98,89,100,1.62,0.20,6,94,88,100,1.60,0.21,6,94,87,100,1.54,0.19,6,93,86,100,1.85,0.21,7,100,93,100,1.85,0.22,7,99,92,100,1.92,0.23,7,100,93,100,1.70,0.22,7,97,88,100,1.61,0.24,7,94,85,100,1.59,0.23,7,93,85,100,1.56,0.24,7,94,85,100
ISRAEL,ISR,1.11,0.27,6,84,71,95,1.09,0.27,6,85,71,95,1.13,0.23,6,85,77,94,0.95,0.23,6,79,69,88,0.93,0.20,6,77,68,87,0.85,0.21,6,77,67,84,0.88,0.19,6,75,66,85,1.02,0.21,7,80,71,91,1.11,0.22,7,84,72,91,1.18,0.23,7,85,74,93,1.11,0.22,7,83,74,92,1.22,0.24,7,85,76,94,1.32,0.23,7,87,79,96,1.16,0.24,7,85,75,94
ITALY,ITA,0.83,0.27,6,76,64,89,0.74,0.27,6,75,61,87,0.81,0.23,6,79,65,87,0.93,0.23,6,78,69,88,1.05,0.20,6,80,73,89,1.09,0.21,6,80,74,90,0.96,0.19,6,77,69,87,0.95,0.21,7,78,70,88,0.92,0.22,7,79,68,87,0.96,0.23,7,79,68,88,0.95,0.22,7,78,70,87,0.89,0.24,7,78,69,85,0.71,0.22,8,75,61,82,0.73,0.22,8,75,62,82
