,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
CHILE,CHL,1.28,0.23,6,88,80,90,1.17,0.19,6,85,79,89,1.12,0.19,6,85,79,89,1.14,0.17,8,86,79,89,1.24,0.17,8,87,80,90,1.20,0.17,9,88,80,90,1.22,0.17,9,85,79,89,1.10,0.18,10,83,77,88,1.26,0.19,10,87,80,91,1.17,0.20,10,84,77,88,1.23,0.19,10,85,77,92,1.26,0.20,10,87,79,93,1.26,0.20,10,86,78,93,1.25,0.19,10,87,77,93
CHINA,CHN,-0.25,0.23,5,47,29,60,-0.10,0.19,6,53,39,61,-0.09,0.19,6,54,41,62,-0.05,0.17,7,55,44,62,-0.04,0.17,7,57,44,64,0.00,0.18,8,59,48,67,-0.09,0.17,8,53,42,61,0.08,0.18,9,57,49,65,0.19,0.19,10,60,51,70,0.15,0.19,10,59,50,67,0.11,0.19,10,58,49,66,0.10,0.19,10,58,47,67,0.10,0.19,10,59,48,66,0.01,0.19,10,56,44,63
COLOMBIA,COL,-0.19,0.23,6,49,32,61,-0.17,0.19,6,49,34,59,-0.28,0.19,6,44,31,58,-0.41,0.17,8,40,28,52,-0.14,0.17,8,54,40,61,-0.14,0.17,9,53,42,64,-0.16,0.17,9,50,39,59,-0.12,0.17,11,53,41,60,-0.05,0.19,11,52,44,63,-0.03,0.19,11,54,45,64,-0.23,0.18,11,49,38,58,-0.04,0.19,11,53,43,64,0.06,0.19,11,56,47,66,0.01,0.19,11,57,44,63
COMOROS,COM,-1.73,0.31,1,3,0,9,-1.66,0.27,3,3,1,9,-1.25,0.28,3,7,3,22,-0.87,0.27,3,20,7,38,-1.37,0.29,3,5,1,17,-1.58,0.25,4,3,0,8,-1.64,0.25,4,1,0,10,-1.68,0.26,4,1,0,9,-1.75,0.29,4,1,1,7,-1.77,0.26,4,1,1,6,-1.77,0.26,5,1,0,7,-1.74,0.26,5,1,0,7,-1.75,0.26,5,1,0,8,-1.55,0.25,5,3,0,13
"CONGO, DEM. REP.",ZAR,-1.69,0.29,2,3,0,9,-1.97,0.24,4,2,0,4,-1.96,0.25,4,1,0,3,-1.74,0.22,5,1,0,6,-1.61,0.23,5,2,1,9,-1.45,0.18,7,6,0,9,-1.59,0.19,7,3,0,9,-1.65,0.22,6,2,0,9,-1.77,0.23,7,1,1,6,-1.67,0.22,7,1,1,7,-1.71,0.20,9,2,0,7,-1.73,0.20,9,1,0,5,-1.67,0.20,9,2,0,8,-1.66,0.19,9,1,0,7
"CONGO, REP.",COG,-1.24,0.29,2,8,3,23,-1.19,0.24,4,10,4,22,-1.32,0.25,4,6,3,16,-1.31,0.24,4,7,2,17,-1.31,0.25,4,6,1,17,-1.12,0.23,5,9,5,23,-1.28,0.19,7,9,3,16,-1.29,0.20,7,8,2,18,-1.34,0.21,7,6,2,16,-1.22,0.20,7,9,2,17,-1.24,0.20,9,8,3,19,-1.23,0.20,9,9,4,19,-1.20,0.20,9,9,5,19,-1.20,0.19,9,11,4,21
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,0.34,1,60,38,75,-0.07,0.35,1,54,30,69,-0.28,0.30,1,46,23,62,-0.48,0.33,1,37,12,60,0.80,0.49,1,76,56,91,0.43,0.41,1,68,46,83,0.54,0.47,1,71,46,87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.98,0.62,1,15,0,58,-1.01,0.58,1,15,0,52,-0.98,0.62,1,16,0,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,0.27,0.24,5,62,53,76,0.29,0.21,4,64,55,75,0.25,0.20,5,63,54,73,0.32,0.18,7,64,58,73,0.26,0.17,7,64,57,70,0.24,0.18,8,66,57,71,0.15,0.17,8,59,51,67,0.11,0.18,9,58,50,66,0.20,0.20,9,61,51,71,0.27,0.20,9,64,53,72,0.33,0.21,8,65,56,72,0.31,0.21,8,65,54,72,0.34,0.21,8,64,55,72,0.49,0.20,9,69,60,73
C?TE D'IVOIRE,CIV,-0.06,0.25,3,55,34,65,-0.21,0.20,5,48,32,59,-0.88,0.21,5,16,8,35,-0.94,0.19,6,16,9,30,-1.02,0.19,6,14,6,26,-1.27,0.18,7,7,4,14,-1.34,0.19,6,8,1,15,-1.17,0.20,7,9,4,21,-1.21,0.21,7,11,3,17,-1.21,0.18,9,10,3,17,-1.08,0.18,10,11,7,24,-1.26,0.19,10,8,4,17,-1.12,0.18,10,13,5,21,-1.11,0.18,10,14,7,23
CROATIA,HRV,0.07,0.27,2,59,42,69,0.06,0.21,4,58,46,68,0.31,0.21,5,65,54,75,0.34,0.18,7,65,59,74,0.38,0.18,7,67,61,73,0.47,0.18,8,70,64,77,0.48,0.18,8,68,61,74,0.56,0.18,9,71,64,77,0.47,0.20,9,69,58,78,0.57,0.20,9,71,63,78,0.61,0.20,9,71,63,78,0.63,0.21,9,70,64,79,0.56,0.20,9,70,62,77,0.70,0.19,10,72,64,80
CUBA,CUB,-0.89,0.25,3,18,6,34,-0.42,0.22,3,40,22,55,-0.23,0.24,3,46,30,61,-0.45,0.20,4,37,26,52,-0.24,0.21,4,48,33,61,-0.44,0.22,5,41,20,56,-0.54,0.21,5,36,19,49,-0.46,0.24,6,38,20,53,-0.32,0.24,6,45,26,55,-0.36,0.25,6,43,22,57,-0.39,0.24,6,44,23,57,-0.39,0.24,6,43,24,56,-0.40,0.24,6,43,23,55,-0.42,0.22,7,41,24,53
CYPRUS,CYP,1.23,0.25,3,87,78,90,1.22,0.22,3,88,79,90,1.07,0.24,3,84,75,89,1.31,0.22,3,88,80,91,1.10,0.22,3,84,75,90,1.18,0.21,4,87,77,90,1.18,0.20,4,85,76,89,1.31,0.21,5,88,80,93,1.43,0.24,5,88,83,96,1.52,0.24,5,89,82,98,1.43,0.23,6,88,82,97,1.53,0.23,6,91,83,98,1.56,0.23,6,92,83,98,1.38,0.23,6,88,80,95
CZECH REPUBLIC,CZE,0.62,0.23,5,72,61,83,0.62,0.19,6,75,64,82,0.62,0.19,7,75,65,81,0.97,0.17,8,80,74,87,0.89,0.17,8,78,72,84,0.91,0.18,8,79,73,87,0.97,0.18,7,79,72,88,1.08,0.19,9,82,77,88,0.90,0.19,10,79,72,84,1.01,0.20,10,81,75,87,0.89,0.21,9,77,70,85,0.91,0.21,9,78,70,87,0.93,0.21,9,78,70,86,0.92,0.21,9,77,70,87
DENMARK,DNK,1.91,0.23,5,97,90,100,2.03,0.21,5,99,91,100,2.00,0.21,5,98,90,100,2.10,0.19,5,100,93,100,2.16,0.19,5,100,94,100,2.34,0.21,5,100,96,100,2.14,0.19,5,100,96,100,2.25,0.20,6,100,97,100,2.36,0.22,6,100,98,100,2.24,0.23,6,100,98,100,2.23,0.21,7,99,98,100,2.09,0.22,7,99,94,100,2.11,0.22,7,99,96,100,1.97,0.22,7,99,94,100
DJIBOUTI,DJI,-0.94,0.31,1,17,6,37,-1.11,0.27,3,11,4,26,-1.10,0.28,3,11,3,29,-0.87,0.27,3,20,7,38,-0.75,0.29,3,24,9,47,-0.62,0.25,4,31,12,49,-0.82,0.25,4,23,10,40,-0.90,0.26,4,20,7,38,-0.86,0.29,4,18,6,42,-0.88,0.26,5,17,7,40,-0.91,0.23,6,20,7,38,-0.99,0.23,6,16,6,32,-0.96,0.23,6,17,8,34,-1.10,0.23,6,14,6,27
DOMINICA,DMA,0.65,0.31,1,76,60,85,0.15,0.29,2,60,44,75,0.39,0.29,2,67,52,79,0.42,0.28,2,68,56,79,0.22,0.31,2,62,46,74,0.12,0.30,3,63,46,73,0.43,0.28,3,67,56,77,0.48,0.33,2,69,53,82,0.51,0.35,2,71,52,83,0.53,0.34,2,70,55,82,0.61,0.34,2,71,58,83,0.65,0.34,2,72,58,84,0.61,0.34,2,71,56,83,0.66,0.32,2,71,60,84
DOMINICAN REPUBLIC,DOM,-0.37,0.25,3,42,23,58,-0.58,0.21,4,31,16,47,-0.33,0.22,4,43,27,57,-0.41,0.18,6,39,27,52,-0.54,0.18,6,34,20,48,-0.64,0.18,8,29,15,47,-0.55,0.17,8,35,23,47,-0.58,0.18,10,32,20,46,-0.66,0.20,10,29,16,45,-0.61,0.20,10,33,17,46,-0.61,0.19,10,33,19,46,-0.66,0.20,10,30,16,43,-0.58,0.20,10,34,18,46,-0.55,0.20,9,35,21,47
ECUADOR,ECU,-0.63,0.25,4,29,14,48,-0.51,0.21,4,33,17,49,-0.80,0.20,5,21,10,38,-0.86,0.18,7,21,10,33,-0.83,0.17,7,20,11,34,-0.85,0.18,8,19,9,33,-0.92,0.17,8,18,11,31,-0.97,0.18,9,17,9,28,-0.85,0.20,9,19,12,34,-0.85,0.20,9,20,10,37,-0.78,0.19,10,25,11,41,-0.72,0.20,10,28,14,42,-0.59,0.20,10,34,18,46,-0.51,0.19,10,37,22,47
"EGYPT, ARAB REP.",EGY,-0.21,0.24,4,48,30,61,-0.17,0.19,6,49,34,60,-0.16,0.19,6,50,38,61,-0.40,0.17,7,40,28,52,-0.30,0.17,7,45,33,57,-0.23,0.17,8,48,36,60,-0.39,0.17,8,41,30,52,-0.48,0.17,10,37,27,49,-0.38,0.19,10,44,28,52,-0.35,0.18,10,44,29,53,-0.27,0.18,10,47,37,57,-0.38,0.19,10,43,29,51,-0.55,0.18,10,36,20,47,-0.77,0.18,10,25,15,39
EL SALVADOR,SLV,-0.72,0.24,5,25,12,44,-0.51,0.21,4,33,17,49,-0.54,0.20,5,35,17,47,-0.51,0.18,7,34,26,49,-0.34,0.17,7,43,29,56,-0.27,0.18,8,48,32,59,-0.32,0.17,8,44,33,56,-0.19,0.18,9,50,36,59,-0.20,0.20,9,49,34,58,-0.16,0.20,9,49,38,59,-0.02,0.20,9,56,46,64,0.00,0.20,9,56,43,65,-0.11,0.20,9,51,41,62,-0.14,0.19,10,49,39,60
EQUATORIAL GUINEA,GNQ,-1.07,0.27,2,13,4,29,-1.46,0.22,4,5,3,11,-1.51,0.22,4,3,2,10,-1.35,0.21,4,6,2,13,-1.24,0.21,4,8,2,17,-1.46,0.21,5,5,0,9,-1.45,0.22,4,4,0,12,-1.60,0.24,4,2,0,9,-1.67,0.25,4,2,1,8,-1.67,0.24,4,2,1,8,-1.72,0.24,4,1,0,7,-1.69,0.23,5,2,0,7,-1.63,0.23,5,3,0,8,-1.65,0.24,4,1,0,10
ERITREA,ERI,-1.20,0.31,1,11,3,26,-0.91,0.27,3,17,6,35,-1.02,0.28,3,12,3,33,-0.81,0.24,4,24,9,39,-0.98,0.26,4,15,5,34,-1.02,0.23,5,12,6,27,-0.97,0.23,5,16,7,34,-1.31,0.22,6,7,2,18,-1.30,0.24,5,7,2,16,-1.28,0.22,6,8,2,17,-1.38,0.22,6,7,1,15,-1.37,0.22,6,6,1,16,-1.42,0.22,6,5,1,15,-1.51,0.23,5,4,1,13
ESTONIA,EST,0.57,0.27,2,71,60,83,0.53,0.21,4,72,61,79,0.72,0.20,6,77,68,82,0.72,0.17,8,75,68,82,0.93,0.17,8,79,72,86,0.97,0.18,8,80,75,88,0.99,0.17,8,81,72,88,1.15,0.19,9,84,77,88,1.04,0.19,10,83,77,88,1.16,0.20,10,84,77,88,1.03,0.21,9,82,73,88,1.11,0.21,9,82,75,89,1.10,0.21,9,82,74,88,0.96,0.21,9,78,71,87
ETHIOPIA,ETH,-1.28,0.25,3,6,3,19,-0.94,0.20,5,15,7,29,-0.91,0.21,5,16,7,32,-0.93,0.19,6,16,9,31,-0.87,0.17,7,19,10,33,-0.73,0.17,8,23,13,39,-0.88,0.17,8,20,12,33,-0.57,0.17,10,33,20,45,-0.39,0.19,10,42,27,52,-0.37,0.18,10,42,29,53,-0.49,0.18,10,39,24,49,-0.42,0.19,10,42,28,50,-0.47,0.18,10,39,24,48,-0.44,0.18,10,40,27,50
FIJI,FJI,-0.14,0.31,1,52,28,65,-0.34,0.29,2,43,20,59,-0.54,0.29,2,34,12,54,0.06,0.28,2,60,41,69,-0.22,0.31,2,49,25,65,-0.43,0.31,2,42,15,62,-0.11,0.28,2,52,34,64,-0.13,0.33,2,52,28,67,-0.45,0.35,2,40,16,57,-0.76,0.34,2,24,6,47,-0.91,0.31,3,20,6,43,-0.73,0.31,3,27,9,47,-0.71,0.31,3,27,9,48,-0.90,0.29,3,20,7,40
FINLAND,FIN,1.84,0.23,5,94,90,100,2.05,0.21,5,99,92,100,2.13,0.21,5,100,93,100,2.17,0.19,5,100,94,100,2.26,0.19,5,100,96,100,2.21,0.21,5,99,93,100,2.16,0.19,5,100,96,100,2.13,0.20,6,99,95,100,1.97,0.22,6,98,91,99,2.04,0.23,6,99,93,100,2.24,0.21,7,100,98,100,2.25,0.22,7,100,98,100,2.26,0.22,7,100,98,100,2.21,0.22,7,100,97,100
FRANCE,FRA,1.42,0.23,5,89,83,92,1.58,0.21,5,90,88,94,1.72,0.21,5,91,88,99,1.60,0.19,5,90,87,95,1.72,0.19,5,92,90,98,1.81,0.21,5,93,90,99,1.71,0.19,5,92,89,99,1.59,0.20,7,90,87,97,1.48,0.21,7,89,84,96,1.58,0.22,7,91,85,98,1.49,0.21,7,89,82,97,1.45,0.22,7,89,82,97,1.37,0.22,7,88,81,95,1.33,0.22,7,88,79,95
FRENCH GUIANA,GUF,0.91,0.31,1,81,67,89,0.91,0.34,1,80,67,89,0.88,0.37,1,80,64,89,0.83,0.32,1,79,64,88,0.78,0.38,1,77,61,90,0.58,0.42,1,72,54,88,0.72,0.32,1,74,62,85,0.73,0.41,1,75,56,88,0.72,0.47,1,76,53,89,0.75,0.45,1,77,56,88,1.17,0.32,2,84,72,94,1.18,0.33,2,83,71,94,1.16,0.32,2,83,72,94,1.11,0.31,2,83,70,94
GABON,GAB,-0.34,0.25,3,43,23,59,-0.59,0.20,5,30,16,47,-0.63,0.21,5,29,14,44,-0.39,0.20,5,41,27,54,-0.48,0.20,5,36,21,53,-0.80,0.19,6,20,9,37,-0.84,0.20,6,22,12,37,-0.85,0.21,7,20,9,36,-0.84,0.21,7,21,12,37,-0.83,0.20,7,20,11,38,-0.75,0.20,7,25,11,43,-0.78,0.21,7,24,12,40,-0.80,0.20,7,22,11,40,-0.78,0.20,8,24,14,40
"GAMBIA, THE",GMB,-0.61,0.29,2,30,13,53,-0.48,0.24,4,35,17,54,-0.50,0.25,4,37,16,53,-0.67,0.24,4,28,12,47,-0.47,0.22,5,36,20,54,-0.50,0.20,6,36,19,50,-0.67,0.19,6,30,16,44,-0.71,0.18,7,27,16,41,-0.59,0.20,7,31,16,46,-0.72,0.19,7,26,14,42,-0.63,0.20,7,32,18,46,-0.66,0.20,7,30,16,43,-0.61,0.20,7,32,17,46,-0.51,0.20,7,37,21,47
GEORGIA,GEO,-0.67,0.31,1,28,12,50,-0.64,0.29,2,27,11,50,-0.73,0.29,3,25,9,46,-0.88,0.25,4,20,8,36,-0.50,0.27,4,35,17,55,-0.49,0.22,6,37,19,54,-0.42,0.21,6,40,26,55,-0.18,0.20,8,50,36,59,0.11,0.20,9,56,47,67,0.30,0.21,9,66,54,73,0.28,0.21,9,62,52,72,0.29,0.21,9,64,51,71,0.55,0.21,9,69,61,77,0.57,0.20,10,70,61,76
GERMANY,DEU,1.84,0.23,5,94,90,100,1.93,0.21,5,95,90,100,1.91,0.21,5,94,89,100,1.72,0.19,5,92,89,99,1.40,0.19,5,90,83,92,1.53,0.21,5,90,87,93,1.54,0.19,5,91,85,96,1.62,0.20,7,92,87,98,1.63,0.21,7,92,87,98,1.52,0.22,7,90,84,98,1.59,0.21,7,92,85,98,1.57,0.22,7,92,84,98,1.55,0.22,7,91,83,98,1.57,0.22,7,93,84,98
GHANA,GHA,-0.11,0.25,3,53,33,63,-0.14,0.20,5,50,35,61,0.02,0.21,5,58,44,67,-0.13,0.19,7,52,38,62,-0.19,0.17,8,52,36,61,-0.16,0.17,9,52,42,63,-0.16,0.17,9,51,39,59,0.11,0.19,10,59,49,67,0.08,0.20,10,55,46,66,0.02,0.18,11,56,46,66,-0.04,0.18,11,54,46,62,-0.04,0.18,11,54,43,63,-0.05,0.18,11,54,44,62,-0.07,0.18,11,52,42,61
GREECE,GRC,0.82,0.23,5,78,67,86,0.75,0.21,5,77,68,84,0.65,0.21,5,75,65,82,0.77,0.19,5,76,68,83,0.75,0.19,5,75,67,83,0.83,0.21,5,78,71,86,0.72,0.19,5,73,65,83,0.68,0.20,7,73,65,82,0.57,0.21,7,72,62,79,0.59,0.22,7,72,62,79,0.61,0.21,7,72,62,78,0.55,0.22,7,69,61,79,0.50,0.22,7,68,60,77,0.31,0.22,7,62,53,71
GREENLAND,GRL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.99,0.45,1,78,62,94,0.98,0.45,1,79,63,94,0.98,0.44,1,79,62,95,0.97,0.45,1,78,61,95
GRENADA,GRD,0.65,0.31,1,76,60,85,0.33,0.29,2,65,50,78,0.35,0.29,2,66,51,79,0.36,0.28,2,66,53,77,0.19,0.31,2,62,44,74,0.09,0.30,3,62,43,72,0.28,0.28,3,63,49,74,0.24,0.31,3,63,46,76,0.22,0.35,2,63,44,78,0.23,0.34,2,63,45,77,0.20,0.31,3,61,46,73,0.17,0.31,3,61,43,72,0.23,0.31,3,62,46,73,0.31,0.32,2,62,47,75
GUAM,GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.26,0.42,1,66,42,80,0.19,0.32,1,62,44,72,0.20,0.41,1,62,37,78,0.20,0.47,1,61,32,80,0.22,0.45,1,62,37,79,-0.03,0.42,1,55,27,72,-0.03,0.44,1,55,26,72,-0.03,0.42,1,54,27,72,-0.04,0.39,1,54,29,70
GUATEMALA,GTM,-0.50,0.24,5,34,18,53,-0.42,0.21,4,40,22,54,-0.53,0.20,5,36,18,47,-0.49,0.18,7,35,26,49,-0.45,0.17,7,39,25,53,-0.64,0.18,8,27,15,47,-0.70,0.17,8,28,16,40,-0.59,0.18,10,31,20,45,-0.55,0.20,10,34,17,47,-0.56,0.20,10,35,17,47,-0.69,0.19,10,28,15,44,-0.70,0.20,10,29,15,43,-0.70,0.20,10,28,15,43,-0.76,0.19,10,26,15,40
GUINEA,GIN,-1.24,0.29,2,8,3,23,-0.80,0.24,4,21,9,41,-0.83,0.25,4,20,8,40,-0.95,0.22,5,15,7,32,-0.76,0.23,5,23,10,41,-0.88,0.21,6,17,8,34,-1.06,0.21,6,15,5,28,-1.34,0.20,7,6,2,16,-1.27,0.21,7,7,2,16,-1.17,0.20,8,10,3,20,-1.03,0.20,8,13,7,28,-1.13,0.20,8,11,4,24,-1.14,0.20,8,11,5,22,-1.27,0.18,10,9,3,17
GUINEA-BISSAU,GNB,-1.47,0.29,2,4,1,15,-1.31,0.24,4,6,3,16,-1.06,0.25,4,12,3,28,-1.15,0.24,4,10,4,26,-1.31,0.25,4,6,1,17,-1.49,0.23,5,5,0,9,-1.38,0.23,5,5,0,15,-1.13,0.24,5,12,4,27,-1.12,0.25,5,13,3,27,-1.06,0.24,5,14,5,29,-1.03,0.24,5,14,6,31,-1.04,0.24,5,14,5,30,-1.04,0.24,5,15,5,29,-1.24,0.23,5,10,2,21
GUYANA,GUY,-0.39,0.29,2,41,19,59,-0.05,0.25,3,55,35,67,-0.19,0.26,3,48,30,62,-0.27,0.25,3,46,28,62,-0.18,0.27,3,53,31,65,-0.19,0.26,4,50,31,66,-0.48,0.21,5,38,23,51,-0.21,0.19,6,48,35,58,-0.04,0.21,7,53,42,64,-0.17,0.22,6,49,37,60,-0.17,0.21,7,49,38,60,-0.12,0.21,7,50,40,63,-0.10,0.21,7,53,41,62,-0.14,0.21,7,50,39,60
HAITI,HTI,-1.21,0.29,2,9,4,23,-1.33,0.25,3,6,3,17,-1.46,0.26,3,4,2,12,-1.63,0.21,5,2,0,8,-1.55,0.21,5,3,1,9,-1.68,0.24,5,1,0,7,-1.38,0.23,5,6,0,16,-1.33,0.23,6,7,1,18,-1.32,0.23,6,6,2,16,-1.29,0.22,7,7,2,17,-1.51,0.21,8,3,0,10,-1.63,0.21,8,3,0,7,-1.65,0.20,9,2,0,8,-1.63,0.19,9,2,0,8
HONDURAS,HND,-0.86,0.24,5,20,7,35,-0.56,0.21,4,31,17,48,-0.54,0.20,5,34,17,47,-0.63,0.18,7,30,17,44,-0.58,0.17,7,33,19,45,-0.56,0.18,8,32,19,48,-0.64,0.17,8,31,18,43,-0.61,0.18,9,30,19,45,-0.55,0.20,9,33,17,47,-0.62,0.20,9,32,16,46,-0.67,0.19,10,29,15,45,-0.64,0.20,10,31,17,43,-0.55,0.20,10,36,19,48,-0.72,0.19,10,27,15,41
"HONG KONG SAR, CHINA",HKG,1.22,0.23,5,87,79,90,1.17,0.21,5,87,78,89,1.30,0.21,5,88,81,90,1.42,0.19,5,89,84,92,1.66,0.19,5,92,89,97,1.79,0.21,5,92,90,98,1.63,0.19,5,92,88,98,1.90,0.20,7,97,90,100,1.87,0.21,7,97,90,99,1.85,0.22,7,98,88,99,1.74,0.21,7,95,88,99,1.70,0.22,7,94,87,99,1.67,0.22,7,94,86,99,1.82,0.22,7,97,90,100
HUNGARY,HUN,0.84,0.23,5,79,67,86,0.94,0.19,6,82,75,88,0.96,0.19,7,81,75,88,1.02,0.17,8,82,75,87,0.96,0.17,8,80,73,87,0.90,0.18,8,79,73,87,0.80,0.17,8,75,69,83,0.88,0.18,10,78,72,85,0.72,0.19,10,77,66,82,0.71,0.20,10,75,66,81,0.68,0.19,10,73,65,79,0.67,0.21,9,72,65,80,0.68,0.21,9,72,64,81,0.62,0.21,9,71,61,78
ICELAND,ISL,1.80,0.26,4,93,88,100,1.91,0.25,4,94,89,100,2.03,0.24,4,98,89,100,2.01,0.23,4,98,90,100,2.12,0.24,4,99,92,100,2.12,0.25,4,98,91,100,1.99,0.22,4,99,92,100,1.87,0.20,5,97,89,100,1.78,0.22,5,96,88,99,1.81,0.23,5,97,88,99,1.65,0.24,5,93,86,99,1.59,0.23,6,93,84,98,1.58,0.23,6,93,83,98,1.49,0.22,7,90,83,97
INDIA,IND,-0.08,0.23,5,54,35,63,-0.09,0.19,6,54,41,62,-0.14,0.19,6,51,38,61,-0.13,0.17,7,52,39,62,-0.07,0.17,7,55,42,62,-0.10,0.18,8,55,44,64,-0.08,0.17,8,55,42,62,-0.05,0.18,10,54,44,64,0.11,0.19,10,57,50,66,-0.03,0.19,10,54,45,64,-0.01,0.19,10,56,46,64,0.02,0.19,10,56,44,65,-0.01,0.19,10,55,44,64,-0.18,0.19,10,47,39,60
INDONESIA,IDN,-0.42,0.23,5,37,23,55,-0.60,0.19,6,29,17,46,-0.27,0.17,7,45,33,56,-0.43,0.16,8,38,28,51,-0.45,0.15,8,38,27,50,-0.38,0.16,9,44,29,54,-0.44,0.17,9,39,27,49,-0.34,0.16,11,44,30,53,-0.28,0.18,11,46,32,55,-0.24,0.19,10,47,36,57,-0.28,0.19,10,47,35,57,-0.20,0.19,10,48,38,59,-0.25,0.19,10,46,36,57,-0.29,0.19,10,44,31,57
"IRAN, ISLAMIC REP.",IRN,-0.56,0.25,3,32,16,50,-0.46,0.22,3,35,19,54,-0.45,0.24,3,38,18,54,-0.52,0.19,5,34,22,49,-0.46,0.19,5,37,23,53,-0.45,0.20,6,40,21,54,-0.62,0.20,6,32,17,45,-0.57,0.21,8,33,19,47,-0.59,0.22,7,31,16,47,-0.61,0.22,7,33,15,46,-0.57,0.22,7,36,18,49,-0.48,0.22,7,39,22,50,-0.44,0.22,7,42,23,53,-0.54,0.22,7,36,20,47
IRAQ,IRQ,-1.95,0.25,3,1,0,4,-1.87,0.22,3,2,0,4,-1.87,0.24,3,2,1,3,-1.88,0.20,4,1,0,4,-1.66,0.21,4,1,1,6,-1.61,0.23,4,2,0,8,-1.66,0.21,4,1,0,8,-1.77,0.25,4,0,0,6,-1.59,0.25,4,3,1,12,-1.26,0.26,5,9,1,20,-1.20,0.25,6,9,3,21,-1.22,0.22,7,9,3,21,-1.15,0.22,7,10,5,23,-1.11,0.21,8,13,7,25
IRELAND,IRL,1.71,0.23,5,92,88,100,1.78,0.21,5,92,89,100,1.67,0.21,5,90,88,98,1.63,0.19,5,90,88,95,1.58,0.19,5,91,87,94,1.56,0.21,5,91,88,93,1.73,0.19,5,93,89,99,1.59,0.20,7,91,87,97,1.57,0.21,7,91,84,97,1.49,0.22,7,89,82,98,1.34,0.21,7,88,78,94,1.34,0.22,7,88,79,94,1.45,0.22,7,89,82,97,1.53,0.22,7,92,84,98
ISRAEL,ISR,0.97,0.23,5,82,71,88,1.13,0.21,5,85,78,89,1.15,0.21,5,86,79,89,1.12,0.19,5,85,76,89,1.25,0.19,5,87,79,90,1.31,0.21,5,88,82,91,1.08,0.19,5,83,74,89,1.25,0.20,7,86,80,90,1.24,0.21,7,86,78,91,1.33,0.22,7,87,79,94,1.26,0.21,7,86,77,93,1.37,0.22,7,88,80,95,1.33,0.22,7,87,79,94,1.25,0.22,7,86,76,94
ITALY,ITA,0.82,0.23,5,78,67,86,0.87,0.21,5,79,72,87,0.77,0.21,5,79,68,84,0.80,0.19,5,76,68,85,0.80,0.19,5,78,69,84,0.67,0.21,5,75,67,82,0.58,0.19,5,70,63,77,0.39,0.20,7,65,56,73,0.21,0.21,7,62,51,71,0.29,0.22,7,65,53,73,0.42,0.21,7,67,58,76,0.45,0.22,7,67,57,76,0.38,0.22,7,66,55,74,0.41,0.22,7,66,58,73
