,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARGENTINA,ARG,0.27,0.23,6,62,53,76,0.38,0.19,6,68,58,76,0.06,0.19,6,59,46,67,-0.26,0.17,8,47,33,58,-0.01,0.17,8,59,46,65,-0.02,0.17,9,58,47,67,-0.09,0.17,9,54,43,61,-0.04,0.18,10,55,44,64,-0.03,0.19,10,53,44,63,-0.13,0.20,10,51,41,60,-0.33,0.18,11,46,31,55,-0.19,0.19,11,48,38,59,-0.14,0.19,11,49,41,61,-0.25,0.19,11,45,33,58
ARMENIA,ARM,-0.41,0.31,1,40,17,59,-0.54,0.25,3,32,15,51,-0.57,0.25,4,32,13,50,-0.17,0.23,5,50,33,62,-0.26,0.24,5,48,29,61,-0.14,0.24,6,52,34,66,-0.13,0.20,7,52,38,61,-0.21,0.17,10,47,36,56,-0.35,0.19,10,44,29,53,-0.16,0.19,10,50,38,59,-0.02,0.20,10,55,45,64,-0.17,0.20,10,49,39,60,-0.10,0.20,10,52,42,62,-0.04,0.19,11,55,43,61
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.19,0.42,1,87,70,93,1.25,0.32,1,88,74,96,1.25,0.41,1,87,71,98,1.24,0.47,1,86,69,98,1.27,0.45,1,86,70,98,1.47,0.32,2,89,78,98,1.23,0.33,2,86,72,96,1.22,0.32,2,85,72,95,1.23,0.31,2,85,72,95
AUSTRALIA,AUS,1.66,0.23,5,91,88,99,1.60,0.21,5,90,88,95,1.77,0.21,5,92,89,99,1.70,0.19,5,92,89,98,1.81,0.19,5,93,90,99,2.04,0.21,5,97,91,100,1.77,0.19,5,95,89,99,1.76,0.20,6,94,88,99,1.82,0.22,6,96,89,99,1.78,0.23,6,96,88,99,1.70,0.21,7,94,88,99,1.77,0.22,7,96,88,99,1.70,0.22,7,95,87,99,1.61,0.22,7,94,87,99
AUSTRIA,AUT,1.86,0.23,5,95,90,100,1.88,0.21,5,94,89,100,1.95,0.21,5,96,89,100,1.97,0.19,5,96,91,100,2.02,0.19,5,98,92,100,1.91,0.21,5,94,91,100,1.72,0.19,5,93,89,99,1.82,0.20,6,96,88,99,1.87,0.22,6,97,90,99,1.77,0.23,6,95,88,99,1.67,0.21,7,94,87,98,1.84,0.22,7,97,89,99,1.61,0.22,7,93,85,99,1.56,0.22,7,93,84,98
AZERBAIJAN,AZE,-0.94,0.27,2,17,6,34,-0.97,0.21,4,15,6,28,-0.98,0.18,6,13,7,27,-0.95,0.17,7,15,9,28,-0.80,0.16,7,21,12,34,-0.75,0.17,8,22,12,38,-0.68,0.17,9,29,17,40,-0.68,0.17,10,28,18,41,-0.77,0.19,10,23,15,40,-0.76,0.20,9,22,13,41,-0.63,0.20,10,31,17,46,-0.79,0.20,10,24,12,40,-0.76,0.20,10,25,14,42,-0.78,0.19,10,24,15,39
"BAHAMAS, THE",BHS,1.34,0.29,2,88,79,93,1.28,0.28,2,88,78,92,1.25,0.31,2,88,78,91,1.26,0.28,2,87,76,92,1.19,0.31,2,85,73,92,1.14,0.34,2,85,72,91,1.17,0.28,2,84,73,91,1.14,0.33,2,84,72,93,1.11,0.35,2,83,71,94,1.15,0.35,2,83,71,94,0.99,0.28,3,79,70,88,1.07,0.27,4,82,70,90,0.96,0.27,4,79,68,88,0.97,0.26,4,79,69,89
BAHRAIN,BHR,0.63,0.25,3,73,61,83,0.56,0.22,3,74,61,82,0.55,0.24,3,72,61,81,0.53,0.19,5,70,62,79,0.46,0.21,4,68,61,78,0.59,0.20,5,73,67,80,0.40,0.19,5,65,58,72,0.40,0.20,5,66,56,76,0.42,0.23,5,67,55,78,0.41,0.23,5,67,57,77,0.50,0.22,7,69,59,76,0.48,0.22,7,68,59,77,0.55,0.22,7,69,61,77,0.54,0.22,7,69,60,76
BANGLADESH,BGD,-0.73,0.25,3,24,12,44,-0.43,0.21,4,39,22,54,-0.56,0.17,6,32,18,45,-0.70,0.16,7,27,15,38,-0.71,0.15,7,26,16,37,-0.78,0.16,8,21,12,35,-0.86,0.17,8,21,12,34,-0.77,0.17,10,26,14,36,-0.68,0.18,10,28,16,43,-0.71,0.19,10,28,15,42,-0.79,0.19,10,23,11,40,-0.75,0.19,10,26,14,40,-0.76,0.19,10,25,14,41,-0.83,0.19,10,22,13,37
BARBADOS,BRB,1.44,0.31,1,90,81,97,1.43,0.34,1,89,79,96,1.41,0.37,1,89,79,98,1.37,0.32,1,89,79,95,1.30,0.38,1,89,73,96,1.09,0.38,2,83,69,91,1.26,0.31,2,88,74,95,1.48,0.27,2,88,82,97,1.34,0.34,2,88,78,97,1.60,0.34,2,92,81,99,1.51,0.27,3,91,82,98,1.41,0.29,3,89,79,98,1.46,0.28,3,89,81,98,1.45,0.27,3,89,80,98
BELARUS,BLR,-0.41,0.31,1,40,17,59,-0.68,0.25,3,25,11,47,-0.65,0.25,4,28,12,47,-0.96,0.23,5,14,7,32,-0.99,0.24,5,14,5,33,-1.08,0.24,5,10,5,26,-1.10,0.23,5,12,4,27,-1.17,0.23,7,10,4,24,-1.13,0.23,7,13,4,24,-1.12,0.23,7,12,3,25,-1.15,0.23,7,11,3,25,-1.14,0.23,7,11,4,25,-1.10,0.23,7,13,5,27,-0.94,0.22,8,18,8,32
BELGIUM,BEL,1.81,0.23,5,93,89,100,1.86,0.21,5,93,89,100,1.78,0.21,5,92,89,99,1.99,0.19,5,97,91,100,1.96,0.19,5,96,91,100,1.92,0.21,5,94,91,100,1.74,0.19,5,94,89,99,1.72,0.20,6,93,88,99,1.61,0.22,6,92,87,98,1.38,0.23,6,88,81,94,1.59,0.21,7,93,85,98,1.58,0.22,7,93,84,98,1.66,0.22,7,94,86,99,1.59,0.22,7,94,85,99
BELIZE,BLZ,0.38,0.31,1,66,53,80,0.00,0.29,2,56,35,70,-0.01,0.29,2,56,36,70,-0.03,0.28,2,56,36,68,-0.19,0.31,2,52,27,65,-0.36,0.30,3,46,19,63,-0.15,0.28,3,51,33,64,-0.41,0.26,4,40,22,56,-0.49,0.26,5,37,16,52,-0.54,0.25,5,36,16,51,-0.47,0.26,5,40,20,53,-0.44,0.26,5,40,20,56,-0.36,0.23,6,44,26,56,-0.18,0.27,4,48,31,61
BENIN,BEN,-0.41,0.31,1,40,17,59,-0.27,0.27,3,46,24,60,-0.27,0.28,3,45,26,61,-0.38,0.24,4,42,26,58,-0.33,0.26,4,43,23,61,-0.36,0.23,5,46,23,59,-0.62,0.19,7,32,17,45,-0.57,0.18,10,34,20,46,-0.51,0.20,10,35,21,50,-0.45,0.19,10,40,21,51,-0.56,0.19,10,37,21,48,-0.58,0.20,10,33,19,46,-0.53,0.20,10,37,20,48,-0.53,0.19,10,36,21,47
BERMUDA,BMU,1.17,0.31,1,86,76,91,1.17,0.34,1,86,75,92,1.14,0.37,1,86,71,91,1.10,0.32,1,85,72,90,1.04,0.38,1,82,67,92,1.06,0.42,1,82,68,91,0.99,0.32,1,81,68,89,0.99,0.41,1,81,65,93,0.98,0.47,1,82,62,94,1.01,0.45,1,81,64,94,1.00,0.42,1,81,64,94,1.00,0.44,1,80,64,94,0.99,0.42,1,80,63,94,1.00,0.39,1,80,64,94
BHUTAN,BTN,0.65,0.31,1,76,60,85,0.56,0.29,2,74,59,83,0.78,0.23,3,79,68,86,0.73,0.22,3,75,67,84,0.38,0.22,3,67,59,75,-0.14,0.22,4,53,36,66,0.28,0.23,5,63,53,72,0.18,0.24,5,61,48,70,0.19,0.27,4,60,46,73,0.22,0.28,4,61,46,73,0.48,0.24,6,67,58,77,0.57,0.23,6,70,62,79,0.62,0.24,6,71,62,81,0.48,0.23,6,67,59,76
BOLIVIA,BOL,-0.19,0.25,4,49,30,61,-0.06,0.21,4,55,41,64,-0.33,0.20,5,43,28,56,-0.29,0.18,7,45,32,58,-0.28,0.17,7,46,34,59,-0.55,0.18,8,33,19,48,-0.68,0.17,8,29,17,40,-0.64,0.18,10,29,18,43,-0.55,0.20,10,33,17,47,-0.61,0.20,10,33,17,46,-0.59,0.19,10,34,20,47,-0.50,0.20,10,38,23,49,-0.46,0.20,10,40,24,49,-0.37,0.19,10,43,28,53
BOSNIA AND HERZEGOVINA,BIH,-1.26,0.27,2,7,3,21,-1.08,0.23,3,12,4,24,-0.86,0.23,4,18,8,38,-0.97,0.20,5,13,8,30,-0.77,0.21,5,22,11,39,-0.57,0.19,7,32,17,48,-0.72,0.19,7,27,15,40,-0.60,0.20,8,30,19,46,-0.81,0.22,8,22,12,40,-0.59,0.22,8,34,16,47,-0.70,0.22,8,28,13,46,-0.73,0.22,8,28,14,43,-0.76,0.24,7,24,10,43,-0.47,0.21,9,39,23,50
BOTSWANA,BWA,0.47,0.25,3,68,58,79,0.50,0.20,5,71,60,78,0.51,0.21,5,71,61,79,0.59,0.17,8,73,64,79,0.73,0.17,8,75,67,81,0.64,0.17,9,73,68,80,0.66,0.17,9,72,65,78,0.52,0.17,11,70,64,77,0.59,0.18,11,73,63,78,0.56,0.18,11,70,63,77,0.48,0.18,11,68,60,76,0.46,0.18,11,67,60,75,0.48,0.18,11,67,61,75,0.44,0.19,10,67,60,73
